Kennziffer;Raumeinheit;Aggregat;Gesamtwanderungssaldo;Gesamtwanderungssaldo;Gesamtwanderungssaldo;Gesamtwanderungssaldo;Gesamtwanderungssaldo;Gesamtwanderungssaldo;Gesamtwanderungssaldo;Gesamtwanderungssaldo;Gesamtwanderungssaldo
;;;1995;1998;2002;2005;2009;2013;2017;2021;2023
"01051138";"Tensbüttel-Röst";"Gemeinden";"77,29";"20,41";"18,57";"4,28";"-22,96";"-44,78";"0,00";"8,85";"15,27"
"01051139";"Süderdorf";"Gemeinden";"2,60";"18,52";"10,18";"-17,68";"-13,19";"34,76";"-28,41";"-28,74";"19,02"
"01051140";"Oesterwurth";"Gemeinden";"3,31";"-28,88";"0,00";"10,95";"-3,82";"-3,76";"-15,81";"54,69";"-8,62"
"01051141";"Süderheistedt";"Gemeinden";"54,87";"23,81";"21,17";"-19,93";"-11,82";"-1,81";"3,61";"-21,03";"27,62"
"01053001";"Albsfelde";"Gemeinden";"14,93";"-16,13";"-76,92";"101,69";"17,54";"69,44";;"54,05";"0,00"
"01053002";"Alt-Mölln";"Gemeinden";"9,60";"-9,94";"30,81";"9,18";"41,11";"-17,54";"-16,80";"-37,62";"-42,07"
"01053003";"Aumühle";"Gemeinden";"-10,49";"0,65";"0,33";"14,49";"6,95";"13,19";"34,66";"8,03";"31,10"
"01053004";"Bäk";"Gemeinden";"31,59";"5,63";"10,15";"11,02";"-7,25";"0,00";"31,11";"5,61";"3,26"
"01053005";"Bälau";"Gemeinden";"37,66";"-24,79";"-12,20";"60,98";"8,44";"-61,14";"91,30";"22,94";"36,04"
"01053006";"Basedow";"Gemeinden";"-1,90";"47,46";"0,00";"16,11";"-14,22";"16,69";"-3,06";"1,56";"9,80"
"01053007";"Basthorst";"Gemeinden";"7,46";"7,25";"7,61";"-23,44";"-10,42";"-19,70";"9,52";"-2,42";"17,94"
"01053008";"Behlendorf";"Gemeinden";"32,43";"24,19";"53,67";"37,78";"-23,26";"-48,39";"-12,79";"32,18";"-22,39"
"01053009";"Berkenthin";"Gemeinden";"38,48";"28,85";"4,85";"50,19";"19,79";"5,82";"16,65";"-0,94";"4,07"
"01053010";"Besenthal";"Gemeinden";"45,98";"-112,68";"0,00";"13,16";"0,00";"36,14";;"31,25";"30,93"
"01053011";"Bliestorf";"Gemeinden";"29,82";"29,23";"30,08";"-7,15";"30,48";"-3,11";"7,79";"3,05";"-14,59"
"01053012";"Börnsen";"Gemeinden";"2,16";"28,05";"13,89";"-1,82";"13,45";"7,76";"23,79";"-8,99";"-9,64"
"01053013";"Borstorf";"Gemeinden";"81,91";"19,17";"-19,42";"0,00";"20,27";"-22,22";"-6,69";"-6,33";"-22,65"
