Kennziffer;Raumeinheit;Aggregat;Gästeübernachtungen in Beherbergungsbetrieben;Gästeübernachtungen in Beherbergungsbetrieben;Gästeübernachtungen in Beherbergungsbetrieben;Gästeübernachtungen in Beherbergungsbetrieben;Gästeübernachtungen in Beherbergungsbetrieben
"01054025";"Dunsum";"Gemeinden";"0,00";;"95,49";"0,00";
"01054026";"Elisabeth-Sophien-Koog";"Gemeinden";"0,00";;;"0,00";
"01054027";"Ellhöft";"Gemeinden";"0,00";;;"0,00";"0,00"
"01054032";"Fresendelf";"Gemeinden";"0,00";;;"0,00";"0,00"
"01054033";"Friedrichstadt, Stadt";"Gemeinden";"18,40";"17,62";"20,53";"14,99";"18,24"
"01054034";"Friedrich-Wilhelm-Lübke-Koog";"Gemeinden";"0,00";;;"0,00";"0,00"
"01054035";"Garding, Kirchspiel";"Gemeinden";"24,08";"21,16";"28,01";"23,65";"31,74"
"01054036";"Garding, Stadt";"Gemeinden";"1,73";"1,69";"3,36";"4,45";"2,84"
"01054037";"Goldebek";"Gemeinden";"0,00";;;"0,00";"0,00"
"01054038";"Goldelund";"Gemeinden";"0,00";;;"0,00";"0,00"
"01054039";"Gröde";"Gemeinden";"0,00";;;"0,00";
"01054040";"Grothusenkoog";"Gemeinden";"0,00";;;"0,00";
"01054041";"Haselund";"Gemeinden";"0,00";;;"0,00";"0,00"
"01054042";"Hattstedt";"Gemeinden";"0,00";;;"0,00";
"01054043";"Hattstedtermarsch";"Gemeinden";"0,00";;;"0,00";
"01054045";"Högel";"Gemeinden";"0,00";;;"0,00";
"01054046";"Hörnum (Sylt)";"Gemeinden";"202,73";"305,46";"312,18";"314,84";"433,98"
"01054048";"Holm";"Gemeinden";"0,00";;;"0,00";"0,00"
"01054050";"Hallig Hooge";"Gemeinden";"481,64";"301,35";"333,66";"188,71";"209,41"
"01054052";"Horstedt";"Gemeinden";"0,00";;;"0,00";"0,00"
"01054054";"Hude";"Gemeinden";"0,00";;;"0,00";"0,00"
"01054055";"Humptrup";"Gemeinden";"0,00";;;"0,00";
"01054056";"Husum, Stadt";"Gemeinden";"7,50";"7,76";"8,36";"7,86";"9,32"
"01054057";"Immenstedt";"Gemeinden";"0,00";;;"0,00";
"01054059";"Joldelund";"Gemeinden";"0,00";;;"0,00";"0,00"
"01054061";"Kampen (Sylt)";"Gemeinden";"325,93";"328,27";"345,84";"317,63";"341,58"
"01054062";"Karlum";"Gemeinden";"0,00";;;"0,00";"0,00"
"01054063";"Katharinenheerd";"Gemeinden";"0,00";;;"16,22";"17,82"
"01054065";"Klanxbüll";"Gemeinden";"0,00";;;"0,00";"0,00"
"01054068";"Klixbüll";"Gemeinden";"0,00";;;"0,00";"0,00"
"01054070";"Koldenbüttel";"Gemeinden";"0,00";;;"0,00";"0,00"
"01054071";"Kolkerheide";"Gemeinden";"0,00";;;"0,00";"0,00"
"01054072";"Kotzenbüll";"Gemeinden";"0,00";;"19,46";"19,76";
"01054073";"Ladelund";"Gemeinden";"0,00";;;"0,00";"0,00"
"01054074";"Langeneß";"Gemeinden";"109,82";"165,40";"123,84";"101,00";"132,75"
"01054075";"Langenhorn";"Gemeinden";"0,00";;;"0,00";"1,91"
"01054076";"Leck";"Gemeinden";"0,00";"1,67";;"0,00";"2,05"
"01054077";"Lexgaard";"Gemeinden";"0,00";;;"0,00";"0,00"
"01054078";"List auf Sylt";"Gemeinden";"68,50";"160,81";"169,72";"179,57";"244,44"
"01054079";"Löwenstedt";"Gemeinden";"0,00";;;"0,00";"0,00"
"01054080";"Lütjenholm";"Gemeinden";"0,00";;;"0,00";"0,00"
"01054083";"Midlum";"Gemeinden";"16,95";"7,72";"28,78";"22,77";"21,57"
"01054084";"Mildstedt";"Gemeinden";"0,00";;;"0,00";
"01054085";"Nebel";"Gemeinden";"276,53";"284,70";"306,89";"273,38";"340,58"
"01054086";"Neukirchen";"Gemeinden";"3,58";"5,78";;"0,00";"8,59"
"01054087";"Nieblum";"Gemeinden";"94,00";"106,38";"227,27";"276,10";"331,13"
"01054088";"Niebüll, Stadt";"Gemeinden";"5,61";"7,67";"7,33";"6,21";"7,71"
"01054089";"Norddorf auf Amrum";"Gemeinden";"498,78";"557,25";"652,90";"561,97";"709,07"
"01054090";"Norderfriedrichskoog";"Gemeinden";"0,00";;;"0,00";
"01054091";"Nordstrand";"Gemeinden";"25,99";"25,35";"23,58";"21,34";"30,47"
"01054092";"Norstedt";"Gemeinden";"0,00";;;"0,00";"0,00"
"01054093";"Ockholm";"Gemeinden";"18,69";;;"0,00";
"01054094";"Oevenum";"Gemeinden";"19,15";"28,05";"71,78";"72,05";"72,54"
"01054095";"Oldenswort";"Gemeinden";"8,32";"8,84";"14,46";"18,05";"17,76"
"01054096";"Oldersbek";"Gemeinden";"0,00";;;"0,00";"0,00"
"01054097";"Olderup";"Gemeinden";"0,00";;;"0,00";"0,00"
"01054098";"Oldsum";"Gemeinden";"20,50";"11,40";"38,46";"49,43";"58,07"
"01054099";"Ostenfeld (Husum)";"Gemeinden";"0,00";;;"0,00";
"01054100";"Osterhever";"Gemeinden";"27,12";"36,62";"44,28";"33,51";"73,22"
"01054101";"Oster-Ohrstedt";"Gemeinden";"0,00";;;"0,00";"0,00"
"01054103";"Pellworm";"Gemeinden";"83,48";"71,83";"82,34";"90,52";"93,62"
"01054104";"Poppenbüll";"Gemeinden";"19,56";"12,22";"12,76";"18,01";"15,80"
