Kennziffer;Raumeinheit;Aggregat;Beschäftigte am WO mit Berufsabschluss;Beschäftigte am WO mit Berufsabschluss;Beschäftigte am WO mit Berufsabschluss;Beschäftigte am WO mit Berufsabschluss
"07311";"Frankenthal (Pfalz), kreisfreie Stadt";"Kreise";"62,74";"63,15";"61,60";"59,97"
"07312";"Kaiserslautern, kreisfreie Stadt";"Kreise";"53,96";"54,30";"51,61";"49,69"
"07313";"Landau in der Pfalz, kreisfreie Stadt";"Kreise";"60,88";"59,20";"56,30";"54,63"
"07314";"Ludwigshafen am Rhein, kreisfreie Stadt";"Kreise";"57,32";"57,51";"55,35";"54,15"
"07315";"Mainz, kreisfreie Stadt";"Kreise";"45,09";"43,14";"39,42";"37,89"
"07316";"Neustadt an der Weinstraße, kreisfreie Stadt";"Kreise";"61,80";"60,29";"59,07";"57,54"
"07317";"Pirmasens, kreisfreie Stadt";"Kreise";"60,35";"62,57";"61,87";"60,73"
"07318";"Speyer, kreisfreie Stadt";"Kreise";"59,10";"60,28";"58,12";"57,28"
"07319";"Worms, kreisfreie Stadt";"Kreise";"58,26";"58,05";"56,44";"55,52"
"07320";"Zweibrücken, kreisfreie Stadt";"Kreise";"64,36";"65,49";"62,00";"61,31"
"07331";"Alzey-Worms";"Kreise";"65,67";"66,16";"64,96";"63,51"
"07332";"Bad Dürkheim";"Kreise";"64,91";"65,40";"64,45";"63,42"
"07333";"Donnersbergkreis";"Kreise";"66,75";"68,29";"68,20";"67,44"
"07334";"Germersheim";"Kreise";"66,71";"67,31";"66,47";"65,56"
"07335";"Kaiserslautern";"Kreise";"64,58";"66,33";"66,01";"65,14"
"07336";"Kusel";"Kreise";"70,99";"72,38";"72,32";"71,59"
"07337";"Südliche Weinstraße";"Kreise";"70,09";"69,95";"69,31";"67,84"
"07338";"Rhein-Pfalz-Kreis";"Kreise";"65,43";"65,79";"63,93";"63,12"
"07339";"Mainz-Bingen";"Kreise";"62,67";"62,52";"60,48";"58,98"
"07340";"Südwestpfalz";"Kreise";"70,12";"71,91";"72,00";"71,46"
"08111";"Stuttgart, Stadtkreis";"Kreise";"45,44";"42,67";"40,53";"39,55"
"08115";"Böblingen";"Kreise";"60,26";"58,68";"56,52";"55,09"
"08116";"Esslingen";"Kreise";"60,41";"59,24";"57,50";"56,35"
"08117";"Göppingen";"Kreise";"64,72";"65,38";"64,56";"63,86"
"08118";"Ludwigsburg";"Kreise";"60,03";"59,15";"57,38";"56,28"
