Kennziffer;Raumeinheit;Aggregat;Kaufkraft;Kaufkraft;Kaufkraft;Kaufkraft
"08116041";"Neckartailfingen";"Gemeinden";"24.487,77";"26.270,97";"27.644,52";"32.310,23"
"08116042";"Neckartenzlingen";"Gemeinden";"23.657,62";"25.380,11";"26.836,75";"31.061,24"
"08116043";"Neidlingen";"Gemeinden";"25.313,71";"26.528,59";"27.554,71";"32.203,76"
"08116046";"Neuffen, Stadt";"Gemeinden";"24.798,71";"26.416,56";"28.362,30";"32.807,09"
"08116047";"Neuhausen auf den Fildern";"Gemeinden";"26.615,06";"28.517,16";"29.617,31";"34.377,07"
"08116048";"Notzingen";"Gemeinden";"27.428,70";"29.590,73";"31.640,75";"36.737,53"
"08116049";"Nürtingen, Stadt";"Gemeinden";"23.373,25";"25.118,33";"27.052,09";"31.238,88"
"08116050";"Oberboihingen";"Gemeinden";"23.745,44";"26.135,93";"27.838,11";"32.478,93"
"08116053";"Ohmden";"Gemeinden";"25.177,19";"27.361,74";"28.771,12";"33.150,64"
"08116054";"Owen, Stadt";"Gemeinden";"24.547,93";"26.246,10";"28.351,21";"32.946,35"
"08116056";"Plochingen, Stadt";"Gemeinden";"23.282,38";"25.077,31";"26.195,84";"30.198,39"
"08116058";"Reichenbach an der Fils";"Gemeinden";"23.873,25";"25.446,71";"26.766,95";"30.852,91"
"08116063";"Schlaitdorf";"Gemeinden";"26.283,49";"29.282,42";"30.671,59";"35.881,32"
"08116068";"Unterensingen";"Gemeinden";"24.503,52";"26.740,40";"27.919,81";"32.436,31"
"08116070";"Weilheim an der Teck, Stadt";"Gemeinden";"24.407,89";"26.295,08";"28.206,96";"32.828,95"
"08116071";"Wendlingen am Neckar, Stadt";"Gemeinden";"23.133,03";"24.960,69";"26.532,84";"30.631,67"
"08116072";"Wernau (Neckar), Stadt";"Gemeinden";"23.902,00";"25.618,42";"26.940,69";"31.226,94"
"08116073";"Wolfschlugen";"Gemeinden";"26.266,33";"28.181,97";"29.342,66";"34.144,85"
"08116076";"Aichwald";"Gemeinden";"27.606,86";"29.658,93";"31.308,30";"36.138,55"
"08116077";"Filderstadt, Stadt";"Gemeinden";"24.918,25";"26.583,66";"27.754,92";"32.091,89"
"08116078";"Leinfelden-Echterdingen, Stadt";"Gemeinden";"27.097,20";"28.779,22";"29.868,31";"34.643,20"
"08116079";"Lenningen";"Gemeinden";"22.637,73";"24.315,98";"26.662,81";"30.939,46"
"08116080";"Ostfildern, Stadt";"Gemeinden";"26.484,04";"28.410,81";"29.848,56";"34.611,04"
"08116081";"Aichtal, Stadt";"Gemeinden";"26.720,73";"28.867,67";"30.238,86";"35.250,05"
"08117001";"Adelberg";"Gemeinden";"24.925,81";"27.650,88";"29.323,32";"33.874,11"
"08117002";"Aichelberg";"Gemeinden";"27.913,59";"29.415,21";"30.923,86";"36.103,13"
"08117003";"Albershausen";"Gemeinden";"23.472,49";"25.567,33";"27.720,35";"31.989,27"
"08117006";"Bad Ditzenbach";"Gemeinden";"25.031,95";"28.030,39";"30.049,73";"34.978,26"
"08117007";"Bad Überkingen";"Gemeinden";"26.240,90";"29.068,87";"30.976,30";"36.224,34"
"08117009";"Birenbach";"Gemeinden";"24.367,86";"26.120,78";"27.678,77";"32.020,47"
"08117010";"Böhmenkirch";"Gemeinden";"23.110,63";"25.340,02";"27.599,01";"32.064,53"
"08117011";"Börtlingen";"Gemeinden";"22.755,29";"24.917,95";"26.936,51";"31.974,93"
"08117012";"Bad Boll";"Gemeinden";"26.314,51";"28.463,55";"30.048,36";"35.142,61"
"08117014";"Deggingen";"Gemeinden";"22.470,44";"24.954,60";"26.447,05";"30.811,25"
"08117015";"Donzdorf, Stadt";"Gemeinden";"23.007,63";"25.816,71";"27.860,59";"32.339,79"
"08117016";"Drackenstein";"Gemeinden";"20.464,12";"23.189,98";"25.674,88";"30.210,11"
"08117017";"Dürnau";"Gemeinden";"23.321,11";"26.383,11";"28.624,84";"33.222,37"
"08117018";"Ebersbach an der Fils, Stadt";"Gemeinden";"23.466,90";"25.380,03";"27.055,18";"31.433,60"
"08117019";"Eislingen/Fils, Stadt";"Gemeinden";"20.778,78";"22.601,22";"24.461,40";"28.570,95"
"08117020";"Eschenbach";"Gemeinden";"23.074,72";"26.037,97";"27.940,30";"32.197,72"
"08117023";"Gammelshausen";"Gemeinden";"23.095,88";"25.880,39";"27.079,56";"31.882,45"
"08117024";"Geislingen an der Steige, Stadt";"Gemeinden";"20.149,24";"21.634,13";"22.788,42";"26.376,26"
"08117025";"Gingen an der Fils";"Gemeinden";"21.818,41";"24.293,40";"26.429,17";"30.622,81"
"08117026";"Göppingen, Stadt";"Gemeinden";"22.140,33";"24.531,84";"26.043,12";"30.174,96"
"08117028";"Gruibingen";"Gemeinden";"22.946,23";"24.690,29";"25.546,03";"29.454,23"
"08117029";"Hattenhofen";"Gemeinden";"24.779,96";"27.214,93";"29.734,93";"34.259,91"
"08117030";"Heiningen";"Gemeinden";"24.727,35";"26.661,32";"27.866,54";"32.036,37"
"08117031";"Hohenstadt";"Gemeinden";"22.012,81";"24.740,93";"27.719,40";"32.382,97"
"08117033";"Kuchen";"Gemeinden";"21.815,63";"23.442,25";"25.155,95";"28.926,90"
"08117035";"Mühlhausen im Täle";"Gemeinden";"21.716,44";"23.060,72";"25.143,55";"29.496,40"
"08117037";"Ottenbach";"Gemeinden";"24.313,45";"27.361,24";"29.202,84";"33.629,90"
"08117038";"Rechberghausen";"Gemeinden";"24.070,44";"27.043,45";"28.561,70";"33.352,23"
"08117042";"Salach";"Gemeinden";"21.508,91";"24.189,86";"26.231,22";"30.400,63"
"08117043";"Schlat";"Gemeinden";"23.963,32";"27.617,07";"29.298,23";"34.805,41"
"08117044";"Schlierbach";"Gemeinden";"23.903,50";"26.489,48";"28.035,49";"32.581,67"
"08117049";"Süßen, Stadt";"Gemeinden";"22.524,34";"24.933,37";"26.086,30";"30.114,48"
"08117051";"Uhingen, Stadt";"Gemeinden";"22.278,59";"24.182,34";"26.167,79";"30.383,05"
"08117053";"Wäschenbeuren";"Gemeinden";"22.779,14";"25.251,96";"27.758,29";"32.113,98"
"08117055";"Wangen";"Gemeinden";"23.720,26";"26.162,20";"28.269,48";"33.089,99"
"08117058";"Wiesensteig, Stadt";"Gemeinden";"20.587,47";"23.284,47";"25.211,51";"28.614,60"
"08117060";"Zell unter Aichelberg";"Gemeinden";"25.272,21";"27.395,77";"29.483,82";"34.698,95"
"08117061";"Lauterstein, Stadt";"Gemeinden";"22.097,68";"24.682,58";"26.701,78";"30.561,93"
"08118001";"Affalterbach";"Gemeinden";"29.768,65";"31.422,38";"32.345,44";"37.222,27"
"08118003";"Asperg, Stadt";"Gemeinden";"24.590,68";"26.711,00";"28.817,97";"33.256,36"
"08118006";"Benningen am Neckar";"Gemeinden";"25.593,86";"27.982,08";"30.059,69";"34.500,62"
"08118007";"Besigheim, Stadt";"Gemeinden";"24.483,42";"26.904,80";"29.324,84";"33.650,51"
"08118010";"Bönnigheim, Stadt";"Gemeinden";"22.030,75";"24.537,17";"27.078,02";"31.296,49"
"08118011";"Ditzingen, Stadt";"Gemeinden";"25.410,48";"27.388,01";"28.765,48";"33.034,67"
"08118012";"Eberdingen";"Gemeinden";"24.934,25";"27.073,35";"29.369,50";"33.695,75"
"08118014";"Erdmannhausen";"Gemeinden";"23.881,73";"26.102,35";"28.537,64";"32.637,20"
"08118015";"Erligheim";"Gemeinden";"22.845,59";"24.906,01";"27.595,83";"31.779,86"
"08118016";"Freudental";"Gemeinden";"23.324,51";"25.565,44";"27.651,04";"31.698,71"
"08118018";"Gemmrigheim";"Gemeinden";"21.812,24";"23.591,56";"25.617,16";"29.447,71"
"08118019";"Gerlingen, Stadt";"Gemeinden";"32.013,92";"34.513,94";"36.547,52";"42.037,47"
"08118021";"Großbottwar, Stadt";"Gemeinden";"22.416,36";"24.726,08";"26.453,62";"30.530,85"
"08118027";"Hemmingen";"Gemeinden";"24.532,93";"26.070,62";"28.400,30";"32.732,33"
"08118028";"Hessigheim";"Gemeinden";"21.978,36";"24.373,53";"26.700,20";"30.635,80"
"08118040";"Kirchheim am Neckar";"Gemeinden";"23.680,87";"26.508,97";"29.236,26";"33.520,07"
"08118046";"Kornwestheim, Stadt";"Gemeinden";"23.316,64";"25.216,05";"26.841,80";"30.900,75"
"08118047";"Löchgau";"Gemeinden";"23.442,77";"25.678,76";"28.148,21";"32.578,41"
"08118048";"Ludwigsburg, Stadt";"Gemeinden";"23.301,21";"25.399,51";"27.096,80";"31.227,49"
"08118049";"Marbach am Neckar, Stadt";"Gemeinden";"23.789,30";"25.805,47";"27.763,99";"32.021,34"
"08118050";"Markgröningen, Stadt";"Gemeinden";"23.120,04";"25.603,88";"27.196,12";"31.448,66"
"08118051";"Möglingen";"Gemeinden";"23.925,21";"25.702,72";"26.945,05";"30.838,28"
"08118053";"Mundelsheim";"Gemeinden";"23.958,89";"26.276,27";"28.627,00";"32.856,59"
"08118054";"Murr";"Gemeinden";"23.336,06";"26.089,23";"27.766,15";"32.054,74"
"08118059";"Oberriexingen, Stadt";"Gemeinden";"26.743,01";"29.346,56";"31.499,44";"36.549,47"
"08118060";"Oberstenfeld";"Gemeinden";"23.578,39";"26.253,51";"28.224,73";"32.220,85"
"08118063";"Pleidelsheim";"Gemeinden";"23.615,84";"25.465,02";"27.218,54";"31.134,54"
"08118067";"Schwieberdingen";"Gemeinden";"27.376,65";"30.098,79";"32.735,97";"37.331,99"
"08118068";"Sersheim";"Gemeinden";"23.629,82";"25.598,10";"27.943,63";"32.056,10"
"08118070";"Steinheim an der Murr, Stadt";"Gemeinden";"24.934,14";"27.079,41";"29.297,90";"33.287,77"
"08118071";"Tamm, Stadt";"Gemeinden";"25.721,91";"28.206,35";"29.669,63";"34.349,31"
"08118073";"Vaihingen an der Enz, Stadt";"Gemeinden";"23.449,32";"25.959,91";"28.226,86";"32.266,79"
"08118074";"Walheim";"Gemeinden";"22.503,76";"24.170,63";"26.162,31";"29.981,67"
"08118076";"Sachsenheim, Stadt";"Gemeinden";"22.483,91";"25.091,90";"27.217,85";"31.261,30"
"08118077";"Ingersheim";"Gemeinden";"24.728,71";"26.312,40";"28.047,37";"32.077,54"
"08118078";"Freiberg am Neckar, Stadt";"Gemeinden";"24.779,06";"26.617,72";"28.498,52";"32.881,85"
"08118079";"Bietigheim-Bissingen, Stadt";"Gemeinden";"25.401,89";"27.459,36";"29.267,39";"33.629,22"
"08118080";"Korntal-Münchingen, Stadt";"Gemeinden";"27.317,02";"29.091,79";"30.369,02";"34.929,25"
"08118081";"Remseck am Neckar, Stadt";"Gemeinden";"27.277,06";"29.382,54";"30.489,88";"35.061,59"
"08119001";"Alfdorf";"Gemeinden";"22.651,32";"25.092,42";"26.751,76";"31.378,66"
"08119003";"Allmersbach im Tal";"Gemeinden";"24.842,27";"26.855,18";"27.892,31";"32.387,45"
"08119004";"Althütte";"Gemeinden";"23.287,13";"25.621,92";"27.864,56";"32.361,70"
"08119006";"Auenwald";"Gemeinden";"24.193,39";"26.310,19";"28.164,92";"32.766,84"
"08119008";"Backnang, Stadt";"Gemeinden";"22.754,40";"24.788,51";"26.637,30";"30.888,26"
"08119018";"Burgstetten";"Gemeinden";"24.680,28";"27.325,20";"28.528,10";"33.164,98"
"08119020";"Fellbach, Stadt";"Gemeinden";"24.237,32";"26.103,25";"27.128,91";"31.403,33"
"08119024";"Großerlach";"Gemeinden";"20.796,14";"22.399,86";"24.578,77";"28.348,68"
"08119037";"Kaisersbach";"Gemeinden";"20.465,66";"22.955,22";"25.114,55";"28.845,42"
"08119038";"Kirchberg an der Murr";"Gemeinden";"24.101,79";"26.731,34";"28.418,98";"33.068,06"
"08119041";"Korb";"Gemeinden";"25.985,52";"28.259,24";"29.268,56";"34.052,43"
"08119042";"Leutenbach";"Gemeinden";"24.502,95";"26.478,89";"27.668,20";"32.280,65"
"08119044";"Murrhardt, Stadt";"Gemeinden";"20.768,80";"22.969,26";"24.728,73";"28.795,56"
"08119053";"Oppenweiler";"Gemeinden";"23.590,88";"25.816,49";"27.612,98";"32.121,91"
"08119055";"Plüderhausen";"Gemeinden";"23.948,09";"25.942,36";"27.126,07";"31.807,80"
"08119061";"Rudersberg";"Gemeinden";"22.696,07";"25.055,39";"26.808,01";"31.197,70"
"08119067";"Schorndorf, Stadt";"Gemeinden";"23.733,94";"25.645,87";"27.693,93";"32.246,38"
"08119068";"Schwaikheim";"Gemeinden";"24.506,95";"26.445,27";"27.437,64";"31.799,72"
"08119069";"Spiegelberg";"Gemeinden";"20.710,03";"23.249,22";"25.190,49";"29.738,61"
"08119075";"Sulzbach an der Murr";"Gemeinden";"21.676,92";"24.185,03";"26.313,36";"30.468,40"
"08119076";"Urbach";"Gemeinden";"23.486,43";"26.019,31";"28.132,42";"32.677,58"
"08119079";"Waiblingen, Stadt";"Gemeinden";"25.751,03";"27.923,77";"29.371,20";"34.139,30"
"08119083";"Weissach im Tal";"Gemeinden";"24.354,03";"26.518,77";"27.884,68";"32.461,71"
"08119084";"Welzheim, Stadt";"Gemeinden";"21.072,94";"23.676,15";"25.551,28";"29.586,37"
"08119085";"Winnenden, Stadt";"Gemeinden";"24.461,52";"26.645,57";"28.457,47";"33.045,73"
"08119086";"Winterbach";"Gemeinden";"24.568,16";"27.159,77";"28.842,27";"33.706,28"
"08119087";"Aspach";"Gemeinden";"23.770,22";"25.988,31";"27.472,14";"31.895,78"
"08119089";"Berglen";"Gemeinden";"24.717,16";"26.932,22";"29.394,79";"34.222,23"
"08119090";"Remshalden";"Gemeinden";"25.931,02";"27.871,45";"29.511,10";"34.349,06"
"08119091";"Weinstadt, Stadt";"Gemeinden";"25.481,63";"27.570,62";"29.284,57";"33.982,81"
"08119093";"Kernen im Remstal";"Gemeinden";"24.951,04";"27.155,17";"28.620,47";"33.143,70"
"08121000";"Heilbronn, Universitätsstadt";"Gemeinden";"25.204,76";"28.952,65";"30.824,63";"35.299,18"
"08125001";"Abstatt";"Gemeinden";"24.803,66";"26.883,15";"29.483,59";"33.959,76"
"08125005";"Bad Friedrichshall, Stadt";"Gemeinden";"21.065,33";"23.697,33";"25.865,22";"29.916,41"
"08125006";"Bad Rappenau, Stadt";"Gemeinden";"22.855,53";"25.181,00";"27.521,43";"31.822,19"
"08125007";"Bad Wimpfen, Stadt";"Gemeinden";"24.849,86";"27.223,83";"29.732,83";"34.339,39"
"08125008";"Beilstein, Stadt";"Gemeinden";"27.088,91";"29.074,22";"31.181,41";"36.265,18"
"08125013";"Brackenheim, Stadt";"Gemeinden";"24.597,68";"26.708,39";"29.087,25";"33.742,69"
"08125017";"Cleebronn";"Gemeinden";"22.214,01";"25.068,68";"26.648,78";"30.553,48"
"08125021";"Eberstadt";"Gemeinden";"22.565,83";"25.025,72";"27.138,03";"31.439,76"
"08125024";"Ellhofen";"Gemeinden";"23.709,47";"26.029,43";"27.964,48";"32.618,64"
"08125026";"Eppingen, Stadt";"Gemeinden";"21.750,45";"24.325,62";"26.590,31";"30.756,25"
"08125027";"Erlenbach";"Gemeinden";"23.457,53";"26.208,15";"28.376,46";"32.805,79"
"08125030";"Flein";"Gemeinden";"28.303,52";"30.959,19";"33.731,37";"38.829,77"
"08125034";"Gemmingen";"Gemeinden";"22.176,12";"24.797,92";"26.899,64";"31.142,79"
"08125038";"Güglingen, Stadt";"Gemeinden";"25.392,29";"26.869,20";"29.350,99";"33.636,57"
"08125039";"Gundelsheim, Stadt";"Gemeinden";"22.073,02";"24.616,97";"26.357,49";"30.564,34"
"08125046";"Ilsfeld";"Gemeinden";"24.718,81";"26.942,23";"29.161,83";"33.474,87"
"08125047";"Ittlingen";"Gemeinden";"20.780,97";"23.333,71";"25.628,30";"29.602,67"
"08125048";"Jagsthausen";"Gemeinden";"21.510,00";"23.236,08";"24.211,89";"27.996,31"
"08125049";"Kirchardt";"Gemeinden";"20.699,99";"22.907,98";"25.135,28";"29.328,62"
"08125056";"Lauffen am Neckar, Stadt";"Gemeinden";"23.511,99";"26.383,81";"28.749,06";"33.232,79"
"08125057";"Lehrensteinsfeld";"Gemeinden";"26.200,34";"29.296,71";"31.316,81";"36.641,84"
"08125058";"Leingarten, Stadt";"Gemeinden";"24.422,68";"26.481,44";"28.659,98";"32.827,48"
"08125059";"Löwenstein, Stadt";"Gemeinden";"23.914,70";"25.950,08";"28.339,01";"32.387,02"
"08125061";"Massenbachhausen";"Gemeinden";"21.873,51";"24.546,14";"26.903,08";"31.141,82"
"08125063";"Möckmühl, Stadt";"Gemeinden";"20.419,09";"22.720,15";"24.802,89";"28.714,03"
"08125065";"Neckarsulm, Stadt";"Gemeinden";"21.369,57";"23.931,89";"25.994,19";"29.922,36"
"08125066";"Neckarwestheim";"Gemeinden";"24.328,61";"26.452,64";"28.081,14";"32.559,46"
"08125068";"Neudenau, Stadt";"Gemeinden";"22.186,00";"24.925,28";"26.456,87";"30.383,38"
"08125069";"Neuenstadt am Kocher, Stadt";"Gemeinden";"23.280,49";"26.208,99";"27.908,60";"32.341,91"
"08125074";"Nordheim";"Gemeinden";"23.967,09";"26.194,78";"27.918,98";"32.140,34"
"08125078";"Oedheim";"Gemeinden";"23.550,75";"25.258,92";"27.349,21";"31.626,51"
"08125079";"Offenau";"Gemeinden";"22.639,47";"24.483,06";"26.395,68";"30.796,29"
"08125081";"Pfaffenhofen";"Gemeinden";"20.964,04";"23.468,81";"25.259,29";"29.236,29"
"08125084";"Roigheim";"Gemeinden";"19.873,48";"21.828,62";"24.165,96";"28.289,33"
"08125086";"Schwaigern, Stadt";"Gemeinden";"23.264,71";"25.032,36";"27.058,73";"31.022,86"
"08125087";"Siegelsbach";"Gemeinden";"21.352,51";"24.196,91";"25.867,97";"29.874,59"
"08125094";"Talheim";"Gemeinden";"26.693,40";"29.149,16";"32.067,41";"37.309,98"
"08125096";"Untereisesheim";"Gemeinden";"23.681,78";"26.796,98";"28.061,69";"32.283,84"
"08125098";"Untergruppenbach";"Gemeinden";"27.114,65";"29.595,48";"31.765,66";"36.584,25"
"08125102";"Weinsberg, Stadt";"Gemeinden";"24.086,13";"26.312,90";"28.101,53";"32.547,21"
"08125103";"Widdern, Stadt";"Gemeinden";"20.090,43";"22.547,95";"24.541,46";"28.401,08"
"08125107";"Wüstenrot";"Gemeinden";"22.054,12";"24.697,57";"26.507,70";"30.613,19"
"08125108";"Zaberfeld";"Gemeinden";"21.442,57";"23.885,74";"26.054,17";"30.416,85"
"08125110";"Obersulm";"Gemeinden";"22.397,64";"25.155,22";"27.059,37";"31.125,78"
"08125111";"Hardthausen am Kocher";"Gemeinden";"22.335,57";"24.892,32";"26.616,04";"31.432,01"
"08125113";"Langenbrettach";"Gemeinden";"22.635,20";"25.452,08";"27.477,46";"31.790,14"
"08126011";"Bretzfeld";"Gemeinden";"22.321,24";"24.307,62";"26.216,65";"30.423,87"
"08126020";"Dörzbach";"Gemeinden";"20.649,57";"23.083,87";"24.753,77";"29.207,12"
"08126028";"Forchtenberg, Stadt";"Gemeinden";"21.770,56";"23.681,35";"25.482,16";"29.558,31"
"08126039";"Ingelfingen, Stadt";"Gemeinden";"21.511,74";"23.931,61";"25.733,84";"29.835,29"
"08126045";"Krautheim, Stadt";"Gemeinden";"19.802,40";"22.004,23";"24.269,67";"27.794,05"
"08126046";"Künzelsau, Stadt";"Gemeinden";"23.414,05";"25.502,12";"26.858,23";"31.089,58"
"08126047";"Kupferzell";"Gemeinden";"21.862,54";"24.210,12";"26.096,33";"30.696,81"
"08126056";"Mulfingen";"Gemeinden";"22.482,71";"24.583,77";"26.339,66";"30.606,01"
"08126058";"Neuenstein, Stadt";"Gemeinden";"21.414,29";"24.052,09";"26.098,56";"30.065,37"
"08126060";"Niedernhall, Stadt";"Gemeinden";"28.699,51";"30.651,71";"31.510,27";"36.195,80"
"08126066";"Öhringen, Stadt";"Gemeinden";"22.923,11";"24.974,51";"26.810,95";"30.991,01"
"08126069";"Pfedelbach";"Gemeinden";"22.965,21";"25.502,02";"27.013,15";"31.783,79"
"08126072";"Schöntal";"Gemeinden";"22.583,71";"24.535,88";"26.530,31";"31.110,06"
"08126085";"Waldenburg, Stadt";"Gemeinden";"23.553,06";"26.310,18";"28.352,13";"33.048,96"
"08126086";"Weißbach";"Gemeinden";"20.373,82";"22.666,69";"24.265,56";"28.514,75"
"08126094";"Zweiflingen";"Gemeinden";"21.629,78";"24.291,84";"27.153,84";"31.249,92"
"08127008";"Blaufelden";"Gemeinden";"21.419,47";"24.521,43";"27.115,04";"31.127,97"
"08127009";"Braunsbach";"Gemeinden";"21.677,31";"23.672,34";"25.802,46";"29.854,86"
"08127012";"Bühlertann";"Gemeinden";"20.235,62";"22.796,16";"24.877,25";"28.463,29"
"08127013";"Bühlerzell";"Gemeinden";"21.361,68";"23.988,70";"26.203,58";"30.521,46"
"08127014";"Crailsheim, Stadt";"Gemeinden";"21.423,12";"24.124,66";"25.996,37";"29.977,74"
"08127023";"Fichtenberg";"Gemeinden";"21.309,08";"23.922,20";"25.558,89";"29.567,09"
"08127025";"Gaildorf, Stadt";"Gemeinden";"20.714,71";"22.905,52";"24.683,45";"28.439,06"
"08127032";"Gerabronn, Stadt";"Gemeinden";"19.073,53";"21.788,82";"23.631,79";"27.308,85"
"08127043";"Ilshofen, Stadt";"Gemeinden";"22.466,06";"24.990,42";"26.755,15";"31.069,54"
"08127046";"Kirchberg an der Jagst, Stadt";"Gemeinden";"19.630,73";"22.671,99";"25.049,30";"28.853,96"
"08127047";"Langenburg, Stadt";"Gemeinden";"22.703,48";"25.248,33";"27.069,31";"31.331,28"
"08127052";"Mainhardt";"Gemeinden";"21.777,38";"24.107,67";"26.056,22";"30.061,62"
"08127056";"Michelbach an der Bilz";"Gemeinden";"23.763,70";"26.624,80";"27.750,57";"31.592,92"
"08127059";"Michelfeld";"Gemeinden";"23.829,66";"26.618,89";"28.087,67";"32.236,07"
"08127062";"Oberrot";"Gemeinden";"20.891,43";"23.148,86";"25.266,93";"29.026,60"
"08127063";"Obersontheim";"Gemeinden";"20.950,27";"23.471,47";"25.729,81";"30.144,08"
"08127071";"Rot am See";"Gemeinden";"20.648,27";"23.624,74";"25.767,26";"29.917,18"
"08127073";"Satteldorf";"Gemeinden";"21.405,12";"24.457,88";"26.273,34";"30.235,04"
"08127075";"Schrozberg, Stadt";"Gemeinden";"20.125,57";"22.617,39";"24.571,22";"28.531,47"
"08127076";"Schwäbisch Hall, Stadt";"Gemeinden";"22.823,49";"25.262,98";"27.021,23";"31.256,81"
"08127079";"Sulzbach-Laufen";"Gemeinden";"23.840,60";"26.812,24";"29.124,90";"33.662,57"
"08127086";"Untermünkheim";"Gemeinden";"24.411,23";"27.771,69";"30.053,97";"35.181,32"
"08127089";"Vellberg, Stadt";"Gemeinden";"22.547,37";"24.462,40";"26.727,48";"31.299,61"
"08127091";"Wallhausen";"Gemeinden";"20.067,41";"22.772,47";"24.702,76";"28.220,68"
"08127099";"Wolpertshausen";"Gemeinden";"21.853,51";"24.829,11";"25.907,85";"29.821,28"
"08127100";"Rosengarten";"Gemeinden";"21.923,73";"24.919,86";"27.037,47";"31.398,34"
"08127101";"Kreßberg";"Gemeinden";"20.895,30";"23.730,36";"25.719,00";"29.454,07"
"08127102";"Fichtenau";"Gemeinden";"20.008,89";"22.036,37";"24.228,14";"28.019,90"
"08127103";"Frankenhardt";"Gemeinden";"22.440,70";"25.100,64";"27.138,36";"31.402,79"
"08127104";"Stimpfach";"Gemeinden";"21.189,97";"23.934,37";"25.686,66";"29.338,06"
"08128006";"Assamstadt";"Gemeinden";"20.854,48";"23.277,01";"25.836,80";"29.537,70"
"08128007";"Bad Mergentheim, Stadt";"Gemeinden";"22.406,88";"24.301,69";"26.144,41";"30.265,18"
"08128014";"Boxberg, Stadt";"Gemeinden";"20.561,69";"22.884,30";"25.133,08";"29.207,67"
"08128020";"Creglingen, Stadt";"Gemeinden";"20.657,39";"22.709,71";"24.663,78";"28.930,52"
"08128039";"Freudenberg, Stadt";"Gemeinden";"22.086,43";"23.657,19";"25.058,95";"29.039,94"
"08128045";"Großrinderfeld";"Gemeinden";"21.153,59";"23.709,00";"25.267,76";"29.230,66"
"08128047";"Grünsfeld, Stadt";"Gemeinden";"21.034,83";"23.486,28";"26.015,77";"30.531,83"
"08128058";"Igersheim";"Gemeinden";"21.545,20";"23.897,13";"26.263,70";"30.443,56"
"08128061";"Königheim";"Gemeinden";"21.177,50";"23.767,82";"25.512,90";"29.727,42"
"08128064";"Külsheim, Stadt";"Gemeinden";"20.615,77";"23.090,08";"25.036,59";"29.027,93"
"08128082";"Niederstetten, Stadt";"Gemeinden";"20.426,25";"22.635,63";"24.314,66";"28.482,47"
"08128115";"Tauberbischofsheim, Stadt";"Gemeinden";"22.620,92";"24.740,64";"26.837,69";"31.049,28"
"08128126";"Weikersheim, Stadt";"Gemeinden";"21.788,48";"23.836,84";"25.845,97";"30.453,79"
"08128128";"Werbach";"Gemeinden";"21.498,29";"23.447,61";"25.732,36";"29.692,62"
"08128131";"Wertheim, Stadt";"Gemeinden";"22.026,56";"25.050,02";"26.670,76";"30.651,49"
"08128137";"Wittighausen";"Gemeinden";"20.029,63";"22.862,91";"24.761,38";"28.844,00"
"08128138";"Ahorn";"Gemeinden";"21.933,36";"23.460,11";"25.391,88";"29.761,79"
"08128139";"Lauda-Königshofen, Stadt";"Gemeinden";"21.545,16";"23.889,76";"26.098,77";"30.337,06"
"08135010";"Dischingen";"Gemeinden";"22.563,65";"24.194,92";"25.935,14";"30.046,03"
"08135015";"Gerstetten";"Gemeinden";"22.666,71";"24.828,52";"26.627,65";"30.856,92"
"08135016";"Giengen an der Brenz, Stadt";"Gemeinden";"19.794,67";"22.123,04";"23.873,03";"27.694,19"
"08135019";"Heidenheim an der Brenz, Stadt";"Gemeinden";"21.630,61";"23.410,29";"25.065,54";"29.046,12"
"08135020";"Herbrechtingen, Stadt";"Gemeinden";"22.925,24";"24.712,98";"26.353,76";"30.939,19"
"08135021";"Hermaringen";"Gemeinden";"20.998,90";"23.365,41";"25.828,84";"29.893,79"
"08135025";"Königsbronn";"Gemeinden";"23.680,75";"26.071,59";"27.939,60";"32.023,11"
"08135026";"Nattheim";"Gemeinden";"22.467,97";"24.440,46";"26.656,83";"30.776,99"
"08135027";"Niederstotzingen, Stadt";"Gemeinden";"21.480,54";"24.126,10";"25.957,93";"30.441,00"
"08135031";"Sontheim an der Brenz";"Gemeinden";"22.338,91";"24.921,48";"26.876,90";"31.406,02"
"08135032";"Steinheim am Albuch";"Gemeinden";"22.986,92";"25.685,89";"26.937,35";"31.314,42"
"08136002";"Abtsgmünd";"Gemeinden";"21.792,09";"24.398,48";"26.371,10";"30.942,84"
"08136003";"Adelmannsfelden";"Gemeinden";"19.828,20";"22.551,46";"24.107,49";"28.298,62"
"08136007";"Bartholomä";"Gemeinden";"21.336,49";"23.914,46";"26.023,71";"30.824,61"
"08136009";"Böbingen an der Rems";"Gemeinden";"22.839,74";"25.203,91";"27.064,06";"31.218,55"
"08136010";"Bopfingen, Stadt";"Gemeinden";"21.137,61";"23.851,94";"25.869,75";"30.189,46"
"08136015";"Durlangen";"Gemeinden";"21.090,46";"23.221,59";"25.156,14";"29.200,20"
"08136018";"Ellenberg";"Gemeinden";"19.858,36";"22.346,70";"24.093,13";"28.086,61"
"08136019";"Ellwangen (Jagst), Stadt";"Gemeinden";"22.195,76";"25.063,93";"27.359,07";"32.092,73"
"08136020";"Eschach";"Gemeinden";"22.284,28";"25.055,98";"27.672,62";"32.360,20"
"08136021";"Essingen";"Gemeinden";"24.028,43";"26.830,62";"28.807,26";"33.268,71"
"08136024";"Göggingen";"Gemeinden";"21.946,38";"24.309,52";"25.743,39";"29.612,56"
