Kennziffer;Raumeinheit;Aggregat;Kaufkraft;Kaufkraft;Kaufkraft;Kaufkraft
"01053082";"Lanze";"Gemeinden";"16.066,19";"18.270,85";"19.997,57";"23.733,55"
"01053083";"Lauenburg/ Elbe, Stadt";"Gemeinden";"18.899,80";"21.356,31";"22.883,37";"26.933,99"
"01053084";"Lehmrade";"Gemeinden";"20.740,81";"23.296,22";"24.908,40";"29.788,62"
"01053085";"Linau";"Gemeinden";"23.066,75";"24.615,13";"26.680,50";"30.641,71"
"01053086";"Lüchow";"Gemeinden";"24.035,21";"27.028,02";"29.901,13";"34.711,30"
"01053087";"Lütau";"Gemeinden";"20.662,18";"23.401,28";"25.047,51";"29.123,55"
"01053088";"Mechow";"Gemeinden";"21.441,06";"24.554,56";"26.729,41";"31.131,59"
"01053089";"Möhnsen";"Gemeinden";"21.667,58";"23.558,09";"25.613,68";"29.898,49"
"01053090";"Mölln, Stadt";"Gemeinden";"20.796,41";"22.985,48";"24.379,26";"28.547,94"
"01053091";"Mühlenrade";"Gemeinden";"21.910,17";"23.995,87";"26.740,35";"31.393,41"
"01053092";"Müssen";"Gemeinden";"22.457,28";"24.311,23";"25.569,08";"29.974,46"
"01053093";"Mustin";"Gemeinden";"21.233,22";"24.007,63";"26.059,76";"29.835,24"
"01053094";"Niendorf bei Berkenthin";"Gemeinden";"17.534,32";"19.821,54";"21.747,45";"25.479,18"
"01053095";"Niendorf/ Stecknitz";"Gemeinden";"22.061,79";"23.741,04";"24.531,28";"28.731,85"
"01053096";"Nusse";"Gemeinden";"20.747,11";"23.661,60";"25.767,25";"29.382,01"
"01053097";"Panten";"Gemeinden";"20.359,94";"23.147,39";"25.009,39";"29.492,07"
"01053098";"Pogeez";"Gemeinden";"27.614,10";"31.562,39";"35.541,45";"42.051,87"
"01053099";"Poggensee";"Gemeinden";"20.764,52";"22.618,23";"23.917,92";"27.953,69"
"01053100";"Ratzeburg, Stadt";"Gemeinden";"21.419,21";"23.859,63";"25.645,88";"29.834,97"
"01053101";"Ritzerau";"Gemeinden";"20.171,44";"23.125,75";"25.669,84";"30.801,95"
"01053102";"Römnitz";"Gemeinden";"17.242,54";"19.711,80";"21.785,92";"25.885,30"
"01053103";"Rondeshagen";"Gemeinden";"20.781,84";"23.624,50";"25.631,50";"30.652,11"
"01053104";"Roseburg";"Gemeinden";"21.953,39";"24.605,58";"27.318,71";"31.905,65"
"01053105";"Sachsenwald (Forstgutsbez.),gemfr.Geb.";"Gemeinden";;;;
"01053106";"Sahms";"Gemeinden";"24.243,74";"25.869,30";"27.709,81";"32.612,93"
"01053107";"Salem";"Gemeinden";"24.982,85";"28.127,49";"29.272,05";"34.497,38"
"01053108";"Sandesneben";"Gemeinden";"21.633,93";"24.315,04";"26.053,74";"30.451,99"
"01053109";"Schiphorst";"Gemeinden";"20.460,03";"22.999,87";"25.307,50";"29.395,08"
"01053110";"Schmilau";"Gemeinden";"23.292,43";"26.132,74";"27.251,58";"32.027,79"
"01053111";"Schnakenbek";"Gemeinden";"24.068,87";"26.020,78";"27.187,98";"31.764,07"
"01053112";"Schönberg";"Gemeinden";"20.553,87";"22.770,04";"24.751,08";"28.459,33"
"01053113";"Schretstaken";"Gemeinden";"21.630,51";"24.136,65";"26.188,94";"30.782,53"
"01053114";"Schürensöhlen";"Gemeinden";"22.904,21";"25.875,92";"28.699,99";"33.438,44"
"01053115";"Schulendorf";"Gemeinden";"22.443,81";"25.106,91";"26.232,59";"31.478,89"
"01053116";"Schwarzenbek, Stadt";"Gemeinden";"21.680,86";"23.873,14";"24.995,81";"29.246,01"
"01053117";"Seedorf";"Gemeinden";"25.285,12";"27.374,35";"29.659,60";"35.695,94"
"01053118";"Siebenbäumen";"Gemeinden";"18.903,63";"21.620,53";"23.631,23";"27.695,01"
"01053119";"Siebeneichen";"Gemeinden";"20.637,38";"23.329,17";"25.306,21";"29.490,06"
"01053120";"Sierksrade";"Gemeinden";"21.093,25";"22.718,86";"23.872,97";"28.077,02"
