Kennziffer;Raumeinheit;Aggregat;Gewerbesteuer;Gewerbesteuer;Gewerbesteuer;Gewerbesteuer;Gewerbesteuer;Gewerbesteuer;Gewerbesteuer;Gewerbesteuer;Gewerbesteuer
;;;1995;1998;2002;2005;2009;2013;2017;2021;2023
"09272136";"Neureichenau";"Gemeinden";"155,00";"171,90";"160,51";"52,46";"110,41";"258,14";"250,70";"653,79";"323,15"
"09272138";"Perlesreut, M";"Gemeinden";"69,84";"106,26";"53,47";"89,08";"130,37";"247,50";"37,34";"464,47";"684,18"
"09272139";"Philippsreut";"Gemeinden";"82,14";"24,20";"100,26";"0,00";"13,83";"32,74";"88,39";"87,39";"175,97"
"09272140";"Ringelai";"Gemeinden";"6,90";"58,66";"-27,35";"21,16";"33,86";"53,20";"1.521,13";"91,63";"271,12"
"09272141";"Röhrnbach, M";"Gemeinden";"160,32";"226,28";"107,92";"339,81";"507,70";"903,50";"74,82";"683,83";"724,77"
"09272142";"Saldenburg";"Gemeinden";"11,72";"28,28";"39,62";"32,23";"87,61";"183,57";"186,79";"264,38";"229,34"
"09272143";"Sankt Oswald-Riedlhütte";"Gemeinden";"108,15";"38,19";"60,45";"35,41";"23,65";"145,25";"39,33";"1.115,65";"-275,50"
"09272145";"Schöfweg";"Gemeinden";"40,86";"35,66";"17,00";"33,66";"38,64";"87,26";"558,80";"139,72";"126,08"
"09272146";"Neuschönau";"Gemeinden";"45,40";"14,18";"15,87";"35,62";"115,68";"201,45";"511,71";"380,11";"310,14"
"09272147";"Schönberg, M";"Gemeinden";"104,63";"141,98";"46,16";"116,46";"118,54";"458,84";"246,28";"783,54";"919,52"
"09272149";"Spiegelau";"Gemeinden";"75,77";"78,73";"60,07";"58,58";"145,97";"294,06";"153,79";"240,90";"243,50"
"09272150";"Thurmansbang";"Gemeinden";"68,21";"68,81";"94,57";"137,44";"102,26";"215,53";"216,98";"305,23";"250,87"
"09272151";"Waldkirchen, St";"Gemeinden";"112,92";"129,76";"62,63";"87,76";"116,41";"324,97";"321,32";"332,09";"467,61"
"09272152";"Zenting";"Gemeinden";"117,41";"77,18";"36,62";"30,98";"86,69";"277,83";"407,62";"801,02";"647,72"
"09272451";"Annathaler Wald";"Gemeinden";"0,00";"0,00";"0,00";"0,00";"0,00";;;;
"09272452";"Frauenberger u. Duschlberger Wald";"Gemeinden";"0,00";"0,00";"0,00";"0,00";"0,00";;;;
"09272453";"Graineter Wald";"Gemeinden";"0,00";"0,00";"0,00";"0,00";"0,00";;;;
"09272455";"Leopoldsreuter Wald";"Gemeinden";"0,00";"0,00";"0,00";"0,00";"0,00";;;;
"09272456";"Mauther Forst";"Gemeinden";"0,00";"0,00";"0,00";"0,00";"0,00";;;;
"09272457";"Philippsreuter Wald";"Gemeinden";"0,00";"0,00";"0,00";"0,00";"0,00";;;;
"09272458";"Pleckensteiner Wald";"Gemeinden";"0,00";"0,00";"0,00";"0,00";"0,00";;;;
"09272459";"Sankt Oswald";"Gemeinden";"0,00";"0,00";"0,00";"0,00";"0,00";;;;
"09272460";"Schlichtenberger Wald";"Gemeinden";"0,00";"0,00";"0,00";"0,00";"0,00";;;;
"09272461";"Schönbrunner Wald";"Gemeinden";"0,00";"0,00";"0,00";"0,00";"0,00";;;;
"09272463";"Waldhäuserwald";"Gemeinden";"0,00";"0,00";"0,00";"0,00";"0,00";;;;
"09273111";"Abensberg, St";"Gemeinden";"141,40";"135,05";"137,82";"185,99";"275,54";"259,94";"527,90";"390,32";"616,15"
"09273113";"Aiglsbach";"Gemeinden";"38,64";"103,36";"89,45";"129,11";"125,44";"164,80";"246,18";"388,19";"266,97"
"09273115";"Attenhofen";"Gemeinden";"38,12";"26,30";"31,43";"61,67";"102,39";"153,91";"207,74";"186,04";"287,08"
"09273116";"Bad Abbach, M";"Gemeinden";"77,81";"148,07";"59,43";"78,56";"136,47";"150,83";"191,83";"249,93";"294,20"
"09273119";"Biburg";"Gemeinden";"40,06";"27,73";"73,32";"82,49";"104,83";"92,37";"246,13";"348,46";"299,13"
"09273121";"Essing, M";"Gemeinden";"448,62";"82,19";"-11,65";"47,11";"113,68";"156,28";"556,88";"269,71";"516,94"
"09273125";"Hausen";"Gemeinden";"84,54";"129,54";"37,71";"72,88";"117,24";"184,25";"1.548,62";"435,59";"425,77"
"09273127";"Herrngiersdorf";"Gemeinden";"72,31";"360,70";"324,40";"732,11";"361,92";"1.936,68";"518,17";"1.016,39";"1.804,67"
"09273133";"Ihrlerstein";"Gemeinden";"54,65";"78,08";"48,42";"100,53";"73,29";"113,15";"3.184,70";"243,40";"467,75"
"09273137";"Kelheim, St";"Gemeinden";"227,16";"188,02";"319,08";"275,41";"347,49";"576,13";"16,73";"744,63";"555,78"
"09273139";"Kirchdorf";"Gemeinden";"86,31";"4,74";"46,14";"95,66";"36,20";"222,84";"1.251,27";"-47,26";"519,46"
"09273141";"Langquaid, M";"Gemeinden";"142,32";"87,12";"127,93";"84,94";"103,11";"252,31";"1.860,84";"379,15";"532,82"
"09273147";"Mainburg, St";"Gemeinden";"361,14";"332,39";"104,01";"336,74";"488,42";"515,86";"914,58";"800,17";"1.277,22"
"09273152";"Neustadt a.d.Donau, St";"Gemeinden";"472,73";"172,45";"481,64";"301,84";"229,31";"1.051,11";"75,83";"687,43";"880,05"
"09273159";"Painten, M";"Gemeinden";"387,42";"503,72";"34,61";"280,04";"575,53";"221,46";"468,69";"763,14";"670,93"
"09273163";"Elsendorf";"Gemeinden";"150,41";"307,12";"96,17";"298,33";"178,17";"216,59";"135,52";"431,42";"506,38"
"09273164";"Riedenburg, St";"Gemeinden";"128,63";"130,74";"62,61";"95,65";"154,82";"259,15";"313,35";"291,79";"515,54"
"09273165";"Rohr i.NB, M";"Gemeinden";"102,56";"119,49";"62,18";"56,06";"59,52";"203,76";"210,29";"296,03";"346,87"
"09273166";"Saal a.d.Donau";"Gemeinden";"144,98";"282,48";"203,04";"213,46";"233,86";"318,77";"722,54";"689,65";"866,13"
"09273172";"Siegenburg, M";"Gemeinden";"109,33";"54,11";"91,08";"118,38";"100,64";"260,96";"262,32";"369,57";"392,39"
"09273175";"Teugn";"Gemeinden";"58,43";"73,24";"47,75";"96,94";"92,28";"180,71";"275,57";"357,83";"326,72"
"09273177";"Train";"Gemeinden";"103,72";"38,73";"152,02";"266,78";"354,86";"339,73";"483,92";"860,26";"83,56"
"09273178";"Volkenschwand";"Gemeinden";"91,77";"69,54";"46,37";"121,77";"113,33";"228,20";"219,24";"418,66";"496,62"
"09273181";"Wildenberg";"Gemeinden";"313,98";"107,23";"28,87";"62,64";"98,42";"234,78";"235,81";"433,31";"512,78"
"09273451";"Dürnbucher Forst";"Gemeinden";"0,00";"0,00";"0,00";"0,00";"0,00";;;;
"09273452";"Frauenforst";"Gemeinden";"0,00";"0,00";"0,00";"0,00";"0,00";;;;
"09273453";"Hacklberg";"Gemeinden";"0,00";"0,00";"0,00";"0,00";"0,00";;;;
"09274111";"Adlkofen";"Gemeinden";"73,64";"160,05";"80,52";"196,35";"145,70";"295,62";"341,90";"306,03";"302,45"
"09274112";"Aham";"Gemeinden";"88,64";"52,95";"72,34";"99,43";"138,48";"125,27";"374,35";"592,85";"621,21"
"09274113";"Altdorf, M";"Gemeinden";"126,69";"140,72";"128,70";"130,32";"203,91";"329,01";"484,27";"544,98";"677,68"
"09274114";"Altfraunhofen";"Gemeinden";"155,32";"130,43";"112,30";"77,41";"310,19";"216,83";"291,67";"243,66";"492,64"
"09274118";"Baierbach";"Gemeinden";"48,89";"48,81";"32,64";"86,73";"147,40";"262,89";"274,64";"222,98";"117,59"
"09274119";"Bayerbach b.Ergoldsbach";"Gemeinden";"227,04";"309,42";"166,96";"164,84";"68,93";"307,69";"247,22";"666,78";"667,75"
"09274120";"Bodenkirchen";"Gemeinden";"151,47";"349,73";"9,85";"63,12";"353,75";"441,54";"482,33";"514,59";"567,42"
"09274121";"Buch a.Erlbach";"Gemeinden";"32,20";"67,23";"104,66";"137,65";"172,82";"171,53";"714,61";"3.041,86";"396,72"
"09274124";"Eching";"Gemeinden";"610,73";"274,04";"235,22";"346,92";"609,06";"300,05";"5.714,37";"834,86";"1.181,13"
"09274126";"Ergolding, M";"Gemeinden";"649,67";"402,85";"304,33";"406,76";"352,82";"1.905,47";"174,65";"1.404,27";"1.772,27"
"09274127";"Ergoldsbach, M";"Gemeinden";"97,05";"91,41";"99,28";"141,21";"161,65";"196,95";"1.708,03";"455,84";"586,92"
"09274128";"Essenbach, M";"Gemeinden";"793,90";"1.090,91";"523,02";"628,64";"1.892,28";"762,24";"110,79";"883,17";"790,64"
"09274132";"Furth";"Gemeinden";"128,34";"55,20";"74,73";"111,62";"113,36";"252,96";"2.784,50";"363,84";"442,19"
"09274134";"Geisenhausen, M";"Gemeinden";"237,13";"165,14";"184,95";"252,28";"491,01";"962,71";"51,83";"1.883,98";"2.352,10"
"09274135";"Gerzen";"Gemeinden";"93,61";"80,44";"65,48";"89,54";"118,13";"232,97";"844,68";"352,87";"381,41"
"09274141";"Hohenthann";"Gemeinden";"102,34";"71,71";"94,11";"122,77";"134,48";"214,18";"107,22";"460,13";"580,84"
"09274145";"Kröning";"Gemeinden";"56,68";"70,33";"40,76";"26,15";"53,01";"148,24";"1.546,44";"226,32";"220,10"
"09274146";"Kumhausen";"Gemeinden";"35,15";"37,51";"47,81";"70,39";"114,56";"315,92";"394,65";"1.708,21";"2.093,27"
"09274153";"Neufahrn i.NB";"Gemeinden";"326,55";"209,06";"403,09";"388,63";"121,14";"498,21";"64,83";"314,78";"1.353,45"
"09274154";"Neufraunhofen";"Gemeinden";"823,99";"91,80";"69,88";"39,64";"283,44";"154,85";"3.157,83";"541,07";"519,61"
"09274156";"Niederaichbach";"Gemeinden";"685,19";"1.161,73";"299,20";"398,09";"1.439,33";"282,47";"76,40";"212,51";"453,15"
"09274165";"Obersüßbach";"Gemeinden";"145,30";"144,58";"113,20";"97,00";"92,52";"205,26";"1.319,95";"306,26";"240,04"
"09274172";"Pfeffenhausen, M";"Gemeinden";"121,72";"187,43";"151,83";"118,50";"186,91";"294,78";"40,62";"375,96";"617,67"
"09274174";"Postau";"Gemeinden";"18,93";"36,32";"44,08";"92,92";"66,96";"71,12";"2.286,43";"110,51";"165,08"
"09274176";"Rottenburg a.d.Laaber, St";"Gemeinden";"868,76";"420,79";"275,65";"477,95";"307,62";"373,26";"22,85";"451,79";"497,96"
"09274179";"Schalkham";"Gemeinden";"44,85";"65,90";"47,05";"26,88";"49,01";"264,98";"1.026,39";"238,34";"318,29"
"09274182";"Tiefenbach";"Gemeinden";"85,85";"156,03";"137,79";"175,79";"224,19";"327,50";"362,90";"573,13";"552,20"
"09274183";"Velden, M";"Gemeinden";"140,24";"87,41";"51,77";"117,37";"126,88";"254,63";"887,23";"295,55";"348,13"
"09274184";"Vilsbiburg, St";"Gemeinden";"470,27";"302,24";"114,29";"885,79";"545,37";"1.057,48";"36,61";"811,64";"775,31"
"09274185";"Vilsheim";"Gemeinden";"46,88";"30,69";"45,75";"60,07";"40,55";"88,19";"353,40";"187,58";"231,85"
"09274187";"Weihmichl";"Gemeinden";"55,20";"39,98";"52,80";"52,34";"179,56";"165,92";"126,17";"532,46";"258,61"
"09274188";"Weng";"Gemeinden";"20,10";"51,14";"44,56";"69,75";"36,18";"145,75";"1.160,27";"420,20";"268,74"
"09274191";"Wörth a.d.Isar";"Gemeinden";"262,81";"327,86";"238,87";"432,72";"553,90";"666,79";"18,26";"757,82";"769,79"
"09274193";"Wurmsham";"Gemeinden";"51,46";"90,84";"13,28";"186,30";"196,37";"123,02";"2.975,46";"181,10";"318,21"
"09274194";"Bruckberg";"Gemeinden";"66,77";"120,50";"243,00";"229,10";"330,46";"600,81";"254,91";"1.014,94";"738,53"
"09275111";"Aicha vorm Wald";"Gemeinden";"191,47";"203,85";"115,82";"369,73";"307,44";"313,91";"464,53";"412,15";"337,33"
"09275112";"Aidenbach, M";"Gemeinden";"84,23";"85,46";"73,61";"112,52";"187,82";"231,77";"395,68";"421,09";"650,82"
"09275114";"Aldersbach";"Gemeinden";"185,07";"60,72";"46,57";"1.627,49";"180,12";"1.000,95";"3.383,00";"1.525,03";"739,71"
"09275116";"Bad Füssing";"Gemeinden";"684,57";"158,45";"368,38";"352,57";"275,74";"304,19";"498,41";"290,14";"527,50"
"09275117";"Beutelsbach";"Gemeinden";"53,16";"133,09";"55,21";"119,13";"195,54";"93,72";"313,48";"350,63";"311,73"
"09275118";"Breitenberg";"Gemeinden";"20,65";"35,34";"40,38";"75,41";"53,76";"126,20";"1.344,06";"210,37";"311,23"
"09275119";"Büchlberg";"Gemeinden";"22,08";"90,42";"155,35";"283,09";"643,52";"481,41";"604,60";"309,17";"464,97"
"09275120";"Eging a.See, M";"Gemeinden";"57,71";"178,05";"118,36";"96,59";"207,66";"250,36";"136,39";"832,51";"971,55"
"09275121";"Fürstenstein";"Gemeinden";"132,57";"83,52";"53,53";"66,90";"86,85";"86,92";"902,01";"239,44";"268,51"
"09275122";"Fürstenzell, M";"Gemeinden";"157,90";"151,60";"77,70";"180,28";"191,92";"262,08";"186,83";"499,08";"477,09"
"09275124";"Bad Griesbach i.Rottal, St";"Gemeinden";"231,80";"101,44";"52,97";"122,51";"171,64";"120,46";"19,22";"233,69";"281,36"
"09275125";"Haarbach";"Gemeinden";"99,72";"56,68";"51,19";"27,31";"94,96";"132,00";"160,29";"206,45";"292,97"
"09275126";"Hauzenberg, St";"Gemeinden";"175,63";"174,53";"198,41";"265,60";"226,73";"430,82";"294,55";"366,14";"403,03"
"09275127";"Hofkirchen, M";"Gemeinden";"45,69";"74,44";"88,96";"120,74";"169,26";"176,32";"594,94";"773,57";"1.321,74"
"09275128";"Hutthurm, M";"Gemeinden";"105,96";"151,82";"87,40";"154,78";"144,62";"386,97";"371,69";"593,31";"520,26"
"09275130";"Kirchham";"Gemeinden";"33,26";"121,61";"173,33";"155,60";"103,71";"279,85";"241,68";"173,12";"201,38"
"09275131";"Kößlarn, M";"Gemeinden";"51,51";"35,00";"41,65";"33,47";"42,76";"89,86";"161,67";"234,41";"246,31"
"09275132";"Malching";"Gemeinden";"29,71";"67,15";"35,24";"71,32";"100,16";"77,23";"173,59";"205,88";"155,27"
"09275133";"Neuburg a.Inn";"Gemeinden";"118,02";"192,56";"114,72";"182,86";"270,65";"137,48";"425,88";"837,86";"503,10"
"09275134";"Neuhaus a.Inn";"Gemeinden";"143,16";"250,67";"100,46";"305,30";"195,79";"446,62";"403,13";"690,05";"539,17"
"09275135";"Neukirchen vorm Wald";"Gemeinden";"42,07";"218,95";"203,40";"149,51";"75,36";"296,21";"1.230,46";"344,70";"401,38"
"09275137";"Obernzell, M";"Gemeinden";"105,00";"345,07";"102,77";"228,13";"225,05";"460,38";"623,23";"383,14";"730,67"
"09275138";"Ortenburg, M";"Gemeinden";"255,75";"172,52";"80,74";"208,25";"161,38";"454,35";"478,62";"661,03";"1.051,89"
"09275141";"Pocking, St";"Gemeinden";"168,49";"144,08";"113,90";"162,56";"191,75";"347,01";"311,59";"350,93";"483,98"
"09275143";"Rotthalmünster, M";"Gemeinden";"321,58";"271,09";"43,47";"228,96";"279,70";"214,45";"375,77";"322,72";"480,65"
"09275144";"Ruderting";"Gemeinden";"58,58";"53,49";"46,39";"72,81";"132,09";"86,91";"198,97";"430,82";"632,71"
"09275145";"Ruhstorf a.d.Rott, M";"Gemeinden";"159,90";"284,71";"-129,44";"603,20";"613,74";"287,24";"312,26";"263,16";"524,25"
"09275146";"Salzweg";"Gemeinden";"108,76";"157,80";"83,67";"243,71";"120,27";"492,51";"405,80";"375,80";"621,97"
"09275148";"Sonnen";"Gemeinden";"23,87";"39,47";"43,92";"98,11";"129,47";"93,20";"426,30";"254,15";"285,96"
"09275149";"Tettenweis";"Gemeinden";"131,06";"110,73";"-389,67";"125,72";"157,15";"291,05";"294,87";"775,53";"411,99"
"09275150";"Thyrnau";"Gemeinden";"177,74";"200,60";"174,48";"347,53";"279,66";"418,36";"609,12";"533,86";"509,36"
"09275151";"Tiefenbach";"Gemeinden";"105,75";"154,29";"121,73";"262,61";"258,09";"280,85";"483,53";"496,76";"645,49"
"09275152";"Tittling, M";"Gemeinden";"245,00";"175,65";"222,75";"258,34";"196,27";"249,75";"295,80";"342,12";"495,68"
"09275153";"Untergriesbach, M";"Gemeinden";"106,05";"69,73";"38,17";"170,50";"175,45";"211,46";"376,80";"426,97";"472,89"
"09275154";"Vilshofen an der Donau, St";"Gemeinden";"261,97";"264,51";"108,76";"313,44";"387,76";"346,05";"671,56";"758,64";"896,93"
"09275156";"Wegscheid, M";"Gemeinden";"69,89";"70,08";"83,87";"101,52";"258,07";"277,40";"325,74";"574,85";"597,84"
"09275159";"Windorf, M";"Gemeinden";"24,38";"66,54";"22,53";"44,93";"86,15";"114,07";"210,28";"588,79";"588,07"
"09275160";"Witzmannsberg";"Gemeinden";"22,11";"41,10";"99,42";"43,08";"56,86";"161,73";"270,24";"448,25";"263,61"
"09276111";"Achslach";"Gemeinden";"41,78";"32,55";"9,12";"91,94";"-14,40";"78,54";"87,22";"295,64";"524,86"
"09276113";"Arnbruck";"Gemeinden";"108,61";"161,66";"146,26";"478,79";"191,37";"480,39";"385,77";"282,45";"528,26"
"09276115";"Bayerisch Eisenstein";"Gemeinden";"148,69";"257,08";"77,59";"65,23";"294,90";"145,03";"115,71";"215,22";"360,94"
"09276116";"Bischofsmais";"Gemeinden";"63,02";"133,29";"111,31";"159,34";"219,16";"104,74";"279,54";"527,14";"205,89"
"09276117";"Bodenmais, M";"Gemeinden";"160,96";"322,24";"227,39";"227,16";"344,95";"416,49";"49,55";"642,93";"966,10"
"09276118";"Böbrach";"Gemeinden";"28,99";"47,87";"15,11";"27,66";"34,57";"42,87";"1.149,06";"196,88";"203,37"
"09276120";"Drachselsried";"Gemeinden";"52,56";"45,72";"58,53";"87,95";"69,08";"167,37";"228,86";"418,52";"350,30"
"09276121";"Frauenau";"Gemeinden";"134,96";"131,09";"97,48";"115,66";"57,03";"134,92";"131,79";"152,82";"135,76"
"09276122";"Geiersthal";"Gemeinden";"43,95";"36,32";"63,99";"129,17";"116,71";"185,52";"249,89";"396,00";"492,36"
"09276123";"Gotteszell";"Gemeinden";"66,35";"44,95";"73,04";"63,23";"30,69";"303,80";"186,82";"752,93";"31,18"
"09276126";"Kirchberg i.Wald";"Gemeinden";"37,70";"41,60";"30,14";"54,32";"112,24";"214,07";"393,09";"528,71";"455,52"
"09276127";"Kirchdorf i.Wald";"Gemeinden";"67,84";"108,89";"68,70";"42,44";"76,13";"85,49";"222,12";"196,55";"425,19"
"09276128";"Kollnburg";"Gemeinden";"24,10";"21,26";"14,32";"84,49";"96,83";"92,92";"313,12";"489,75";"496,42"
"09276129";"Langdorf";"Gemeinden";"22,74";"33,47";"27,34";"19,72";"68,98";"47,95";"113,30";"247,49";"318,47"
"09276130";"Lindberg";"Gemeinden";"12,13";"25,51";"16,84";"44,36";"74,81";"83,37";"136,00";"190,98";"122,29"
"09276134";"Patersdorf";"Gemeinden";"50,77";"133,82";"39,50";"102,25";"112,11";"149,65";"205,57";"407,50";"419,09"
"09276135";"Prackenbach";"Gemeinden";"43,54";"87,31";"81,63";"85,00";"112,67";"202,96";"241,86";"352,44";"308,48"
"09276138";"Regen, St";"Gemeinden";"207,83";"323,97";"295,87";"176,29";"402,92";"259,85";"594,84";"909,01";"1.014,25"
"09276139";"Rinchnach";"Gemeinden";"30,34";"47,38";"19,41";"30,58";"70,20";"108,15";"229,32";"174,56";"221,15"
"09276142";"Ruhmannsfelden, M";"Gemeinden";"117,84";"127,15";"78,65";"107,63";"142,86";"196,92";"300,43";"328,51";"483,51"
"09276143";"Teisnach, M";"Gemeinden";"639,08";"118,99";"568,78";"2.017,18";"1.055,92";"3.095,61";"2.024,58";"3.882,62";"2.504,70"
"09276144";"Viechtach, St";"Gemeinden";"237,26";"430,85";"317,14";"545,92";"276,43";"444,64";"745,29";"618,04";"718,73"
"09276146";"Zachenberg";"Gemeinden";"49,71";"47,64";"2,80";"51,95";"51,97";"60,56";"115,60";"264,84";"115,25"
"09276148";"Zwiesel, St";"Gemeinden";"167,13";"230,89";"127,67";"202,10";"170,11";"376,58";"388,14";"447,77";"584,64"
"09277111";"Arnstorf, M";"Gemeinden";"425,86";"532,49";"445,04";"666,77";"766,44";"764,16";"742,58";"853,08";"2.110,47"
"09277112";"Bayerbach";"Gemeinden";"73,42";"82,24";"17,54";"41,14";"77,98";"156,86";"1.243,07";"262,87";"221,17"
"09277113";"Bad Birnbach, M";"Gemeinden";"182,68";"136,66";"154,65";"160,46";"209,51";"302,21";"35,02";"520,49";"660,09"
"09277114";"Dietersburg";"Gemeinden";"98,30";"76,46";"60,51";"54,37";"189,15";"196,86";"313,99";"417,72";"449,26"
"09277116";"Eggenfelden, St";"Gemeinden";"755,39";"461,33";"528,36";"501,84";"551,88";"480,75";"676,18";"677,57";"1.050,56"
"09277117";"Egglham";"Gemeinden";"57,41";"52,18";"39,12";"58,17";"106,82";"105,64";"251,89";"447,07";"644,73"
"09277118";"Ering";"Gemeinden";"276,10";"143,43";"268,12";"303,62";"-99,95";"85,92";"440,39";"558,92";"417,69"
"09277119";"Falkenberg";"Gemeinden";"132,96";"211,86";"153,71";"154,45";"204,17";"184,27";"104,36";"279,04";"507,92"
"09277121";"Gangkofen, M";"Gemeinden";"116,48";"90,04";"116,41";"211,55";"319,20";"289,18";"315,42";"423,06";"505,44"
"09277122";"Geratskirchen";"Gemeinden";"50,95";"14,30";"45,40";"47,45";"73,43";"104,22";"156,75";"217,44";"178,69"
"09277124";"Hebertsfelden";"Gemeinden";"243,80";"81,43";"104,31";"125,80";"129,48";"175,08";"340,35";"353,94";"549,32"
"09277126";"Johanniskirchen";"Gemeinden";"123,99";"112,84";"38,83";"134,65";"219,87";"273,10";"405,56";"539,78";"567,06"
"09277127";"Julbach";"Gemeinden";"38,33";"105,84";"73,60";"95,96";"248,70";"220,19";"289,04";"493,44";"691,00"
"09277128";"Kirchdorf a.Inn";"Gemeinden";"139,05";"34,75";"77,04";"100,74";"105,78";"180,41";"246,24";"420,62";"422,78"
"09277131";"Malgersdorf";"Gemeinden";"46,78";"44,23";"39,74";"77,44";"82,56";"340,18";"389,82";"573,50";"671,96"
"09277133";"Massing, M";"Gemeinden";"524,76";"374,21";"270,37";"347,67";"721,06";"962,58";"962,44";"1.532,21";"1.915,71"
"09277134";"Mitterskirchen";"Gemeinden";"79,43";"57,95";"117,56";"141,55";"101,16";"124,56";"306,78";"622,53";"726,60"
"09277138";"Pfarrkirchen, St";"Gemeinden";"407,59";"374,34";"275,80";"383,59";"405,63";"488,25";"1.245,97";"488,02";"837,77"
"09277139";"Postmünster";"Gemeinden";"28,57";"21,03";"15,25";"52,97";"106,04";"62,55";"163,52";"238,11";"306,53"
"09277140";"Reut";"Gemeinden";"86,62";"9,11";"31,13";"60,35";"27,59";"62,57";"154,10";"249,99";"290,25"
"09277141";"Rimbach";"Gemeinden";"64,74";"194,19";"127,71";"63,69";"171,30";"160,82";"322,43";"374,91";"461,93"
"09277142";"Roßbach";"Gemeinden";"203,23";"103,64";"66,35";"125,68";"220,63";"273,76";"341,74";"500,78";"518,29"
"09277144";"Schönau";"Gemeinden";"48,41";"47,20";"43,37";"39,11";"122,52";"94,21";"322,28";"367,14";"611,00"
"09277145";"Simbach a.Inn, St";"Gemeinden";"178,06";"174,84";"129,18";"356,31";"331,53";"344,60";"530,92";"518,95";"643,47"
"09277147";"Stubenberg";"Gemeinden";"73,32";"133,18";"64,76";"74,81";"37,93";"112,84";"224,04";"166,36";"224,17"
"09277148";"Tann, M";"Gemeinden";"139,68";"155,53";"111,17";"158,04";"244,19";"200,97";"302,73";"528,48";"386,04"
"09277149";"Triftern, M";"Gemeinden";"92,00";"53,49";"72,74";"134,74";"162,95";"172,53";"291,86";"317,01";"314,45"
"09277151";"Unterdietfurt";"Gemeinden";"96,63";"67,38";"73,72";"97,30";"122,07";"239,54";"302,70";"401,81";"351,92"
"09277152";"Wittibreut";"Gemeinden";"184,68";"213,65";"242,64";"286,93";"71,08";"101,46";"282,79";"461,91";"567,38"
"09277153";"Wurmannsquick, M";"Gemeinden";"174,22";"109,27";"59,86";"317,51";"254,71";"406,76";"345,86";"536,90";"872,29"
"09277154";"Zeilarn";"Gemeinden";"293,43";"127,82";"33,71";"383,96";"194,55";"460,56";"952,42";"1.388,48";"718,39"
"09278112";"Aholfing";"Gemeinden";"19,15";"24,02";"29,91";"123,01";"316,45";"241,03";"208,52";"164,50";"128,00"
"09278113";"Aiterhofen";"Gemeinden";"71,71";"111,32";"214,44";"109,00";"317,56";"492,27";"384,00";"752,26";"1.721,94"
"09278116";"Ascha";"Gemeinden";"34,64";"95,48";"75,42";"45,25";"147,98";"303,85";"189,68";"291,44";"549,21"
"09278117";"Atting";"Gemeinden";"139,80";"74,03";"259,64";"134,24";"160,78";"403,67";"724,77";"724,44";"1.190,07"
"09278118";"Bogen, St";"Gemeinden";"126,60";"119,85";"127,88";"188,03";"191,42";"354,73";"483,92";"507,78";"574,60"
"09278120";"Falkenfels";"Gemeinden";"65,66";"89,12";"56,07";"143,28";"122,14";"185,33";"197,35";"126,77";"124,74"
"09278121";"Feldkirchen";"Gemeinden";"22,29";"49,46";"57,29";"130,01";"118,16";"150,94";"140,42";"99,35";"302,58"
"09278123";"Geiselhöring, St";"Gemeinden";"117,34";"91,68";"91,71";"125,35";"247,63";"294,98";"593,78";"289,97";"302,77"
"09278129";"Haibach";"Gemeinden";"41,65";"32,63";"25,32";"97,35";"59,56";"135,49";"217,46";"165,31";"575,74"
"09278134";"Haselbach";"Gemeinden";"7,46";"14,22";"10,61";"13,44";"73,76";"107,94";"139,30";"226,23";"285,31"
"09278139";"Hunderdorf";"Gemeinden";"66,79";"90,19";"102,25";"157,42";"76,81";"141,86";"187,43";"281,41";"296,61"
"09278140";"Irlbach";"Gemeinden";"114,26";"21,40";"94,75";"120,82";"205,93";"129,74";"100,74";"122,57";"211,22"
"09278141";"Kirchroth";"Gemeinden";"77,90";"99,27";"98,27";"111,47";"78,39";"192,03";"286,78";"374,22";"351,10"
"09278143";"Konzell";"Gemeinden";"277,87";"239,36";"243,83";"443,06";"769,61";"549,58";"853,88";"631,04";"1.418,99"
"09278144";"Laberweinting";"Gemeinden";"268,96";"86,65";"27,64";"147,01";"143,15";"268,07";"270,11";"403,55";"310,91"
"09278146";"Leiblfing";"Gemeinden";"291,47";"70,35";"31,80";"149,96";"138,58";"505,58";"609,14";"624,39";"557,83"
"09278147";"Loitzendorf";"Gemeinden";"21,28";"3,33";"8,20";"9,49";"94,49";"58,16";"191,86";"166,16";"123,72"
"09278148";"Mallersdorf-Pfaffenberg, M";"Gemeinden";"193,78";"229,94";"183,30";"252,88";"-8,96";"335,70";"360,16";"393,48";"593,18"
"09278149";"Mariaposching";"Gemeinden";"50,04";"40,24";"27,23";"85,43";"22,21";"125,98";"172,86";"113,94";"92,04"
"09278151";"Mitterfels, M";"Gemeinden";"125,17";"85,08";"31,29";"60,90";"104,94";"223,75";"288,11";"246,90";"336,39"
"09278154";"Neukirchen";"Gemeinden";"108,16";"194,20";"122,33";"92,97";"52,37";"70,31";"279,45";"233,20";"702,98"
"09278159";"Niederwinkling";"Gemeinden";"157,41";"258,95";"268,57";"1.381,47";"471,47";"3.571,09";"4.075,33";"4.312,66";"2.583,73"
"09278167";"Oberschneiding";"Gemeinden";"39,66";"31,78";"51,52";"48,60";"79,53";"238,11";"207,59";"258,10";"258,31"
"09278170";"Parkstetten";"Gemeinden";"113,64";"56,24";"58,74";"82,53";"76,56";"136,20";"190,31";"251,98";"247,50"
