Kennziffer;Raumeinheit;Aggregat;Einwohner-Arbeitsplatz-Dichte;Einwohner-Arbeitsplatz-Dichte;Einwohner-Arbeitsplatz-Dichte;Einwohner-Arbeitsplatz-Dichte;Einwohner-Arbeitsplatz-Dichte;Einwohner-Arbeitsplatz-Dichte;Einwohner-Arbeitsplatz-Dichte
;;;2000;2004;2009;2013;2017;2021;2023
"01053014";"Breitenfelde";"Gemeinden";"152,43";"164,75";"158,05";"184,05";"181,98";"197,05";"201,91"
"01053015";"Bröthen";"Gemeinden";"24,42";"28,06";"29,19";"29,28";"28,44";"31,15";"31,15"
"01053016";"Brunsmark";"Gemeinden";"28,44";"34,27";"37,30";"36,36";"37,06";"34,73";"36,36"
"01053017";"Brunstorf";"Gemeinden";"41,64";"49,78";"51,45";"52,76";"62,35";"62,94";"67,08"
"01053018";"Buchholz";"Gemeinden";"79,86";"83,96";"90,44";"88,40";"88,74";"86,69";"87,37"
"01053019";"Buchhorst";"Gemeinden";"45,86";"34,68";"37,19";"36,22";"36,22";"36,99";"37,96"
"01053020";"Büchen";"Gemeinden";"429,50";"424,04";"442,73";"462,97";"488,66";"540,53";"556,85"
"01053021";"Dahmker";"Gemeinden";"67,16";"79,41";"82,35";"96,08";"90,20";"75,49";
"01053022";"Dalldorf";"Gemeinden";"57,19";"58,84";"60,33";"66,61";"56,86";"57,02";"58,02"
"01053023";"Dassendorf";"Gemeinden";"432,83";"423,52";"452,96";"475,85";"498,61";"523,68";"543,83"
"01053024";"Düchelsdorf";"Gemeinden";"49,17";"50,83";"55,15";"55,81";"55,15";"53,16";
"01053025";"Duvensee";"Gemeinden";"47,50";"47,34";"48,55";"50,81";"51,82";"50,93";"52,54"
"01053026";"Einhaus";"Gemeinden";"144,66";"158,89";"159,29";"162,85";"158,89";"167,59";
"01053027";"Elmenhorst";"Gemeinden";"76,67";"94,46";"116,00";"127,25";"99,85";"119,40";"124,94"
"01053028";"Escheburg";"Gemeinden";"305,39";"359,71";"401,23";"401,12";"411,67";"424,92";"474,52"
"01053029";"Fitzen";"Gemeinden";"41,82";"39,74";"40,83";"39,08";"40,83";"41,82";
"01053030";"Fredeburg";"Gemeinden";"8,52";"7,53";"10,21";"5,15";"9,42";"4,46";
"01053031";"Fuhlenhagen";"Gemeinden";"60,98";"58,54";"58,36";"68,47";"78,22";"78,75";"74,56"
"01053032";"Geesthacht, Stadt";"Gemeinden";"1.154,22";"1.152,95";"1.146,70";"1.178,79";"1.225,50";"1.280,42";"1.341,08"
"01053033";"Giesensdorf";"Gemeinden";"39,56";"37,73";"40,66";"52,75";"53,85";"57,51";
"01053034";"Göldenitz";"Gemeinden";"42,28";"47,68";"51,35";"52,43";"53,20";"56,52";"58,70"
"01053035";"Göttin";"Gemeinden";"10,36";"11,13";"10,17";"12,09";"12,86";"11,13";"12,86"
"01053036";"Grabau";"Gemeinden";"70,98";"73,66";"71,71";"78,05";"85,61";"84,63";"98,00"
"01053037";"Grambek";"Gemeinden";"37,99";"41,71";"42,26";"45,73";"54,58";"56,40";"68,17"
"01053038";"Grinau";"Gemeinden";"129,56";"133,58";"149,64";"118,25";"108,76";"121,17";
"01053039";"Groß Boden";"Gemeinden";"83,33";"86,30";"90,37";"81,11";"74,81";"74,81";
"01053040";"Groß Disnack";"Gemeinden";"16,19";"15,53";"15,53";"15,36";"14,02";"13,86";
"01053041";"Groß Grönau";"Gemeinden";"833,06";"856,33";"796,53";"828,16";"884,29";"925,51";"907,76"
"01053042";"Groß Pampau";"Gemeinden";"32,48";"33,10";"39,81";"38,19";"49,42";"35,27";
"01053043";"Groß Sarau";"Gemeinden";"57,29";"55,74";"57,38";"59,89";"63,35";"65,46";"70,37"
"01053044";"Groß Schenkenberg";"Gemeinden";"90,03";"90,03";"91,72";"92,02";"94,63";"98,01";"100,46"
"01053045";"Grove";"Gemeinden";"46,59";"46,40";"49,05";"49,24";"44,32";"53,41";
"01053046";"Gudow";"Gemeinden";"44,77";"45,39";"42,19";"43,54";"42,86";"43,93";"47,31"
"01053047";"Gülzow";"Gemeinden";"78,79";"80,73";"76,45";"76,51";"80,73";"82,78";"84,48"
"01053048";"Güster";"Gemeinden";"148,46";"171,08";"180,59";"178,53";"184,83";"192,80";"189,59"
"01053049";"Hamfelde";"Gemeinden";"153,60";"133,14";"125,36";"139,48";"147,55";"145,53";"170,03"
"01053050";"Hamwarde";"Gemeinden";"119,76";"116,62";"119,91";"125,30";"137,78";"137,18";"140,18"
"01053051";"Harmsdorf";"Gemeinden";"75,35";"78,15";"89,64";"103,08";"100,28";"103,08";"104,48"
"01053052";"Havekost";"Gemeinden";"24,37";"24,20";"26,73";"33,84";"30,12";"33,16";"36,72"
"01053053";"Hohenhorn";"Gemeinden";"72,87";"73,59";"79,22";"84,99";"88,02";"89,90";"98,12"
"01053054";"Hollenbek";"Gemeinden";"62,60";"64,77";"62,97";"62,00";"59,78";"64,49";"66,02"
"01053056";"Hornbek";"Gemeinden";"33,79";"34,97";"34,97";"33,62";"32,26";"33,96";
"01053057";"Horst";"Gemeinden";"21,21";"22,21";"21,04";"19,45";"17,93";"20,17";"23,90"
"01053058";"Juliusburg";"Gemeinden";"35,26";"32,12";"30,46";"31,62";"31,18";"30,51";
"01053059";"Kankelau";"Gemeinden";"49,41";"52,97";"50,83";"47,74";"53,68";"53,21";
"01053060";"Kasseburg";"Gemeinden";"73,00";"69,71";"68,57";"76,30";"77,69";"76,55";"78,20"
"01053061";"Kastorf";"Gemeinden";"195,22";"205,07";"214,93";"217,68";"223,48";"230,14";"239,28"
"01053062";"Kittlitz";"Gemeinden";"16,92";"16,53";"14,95";"14,27";"15,17";"16,13";"17,15"
"01053064";"Klein Pampau";"Gemeinden";"171,22";"166,91";"156,12";"158,27";"158,27";"172,90";"176,26"
"01053066";"Klein Zecher";"Gemeinden";"27,22";"26,23";"27,88";"29,75";"28,10";"27,33";"27,99"
"01053067";"Klempau";"Gemeinden";"55,52";"63,46";"64,95";"65,74";"66,63";"64,05";"64,65"
"01053068";"Klinkrade";"Gemeinden";"76,62";"75,14";"76,08";"84,32";"83,38";"81,22";
"01053069";"Koberg";"Gemeinden";"65,19";"65,44";"69,53";"67,61";"69,03";"70,03";"70,12"
"01053070";"Köthel";"Gemeinden";"190,13";"194,74";"200,66";"191,45";"228,29";"188,82";
"01053071";"Kollow";"Gemeinden";"83,68";"82,83";"84,41";"78,32";"77,83";"79,78";"83,68"
"01053072";"Kröppelshagen-Fahrendorf";"Gemeinden";"134,53";"135,60";"140,62";"154,00";"166,91";"172,40";"173,48"
"01053073";"Krüzen";"Gemeinden";"39,76";"46,67";"45,09";"47,52";"50,61";"43,33";"50,49"
"01053074";"Krukow";"Gemeinden";"28,59";"26,70";"26,83";"21,16";"18,89";"23,68";"23,80"
"01053075";"Krummesse";"Gemeinden";"497,65";"504,09";"537,61";"602,09";"621,79";"589,55";"543,28"
"01053076";"Kuddewörde";"Gemeinden";"197,96";"200,41";"204,50";"205,72";"211,84";"233,06";"261,50"
"01053077";"Kühsen";"Gemeinden";"60,58";"54,26";"56,32";"51,92";"51,10";"51,37";"51,37"
"01053078";"Kulpin";"Gemeinden";"42,83";"43,49";"39,37";"36,90";"38,55";"35,91";"38,55"
"01053079";"Labenz";"Gemeinden";"136,87";"148,70";"152,00";"153,04";"154,43";"164,17";"165,39"
"01053080";"Langenlehsten";"Gemeinden";"7,27";"6,93";"7,02";"6,72";"6,46";"6,59";
"01053081";"Lankau";"Gemeinden";"25,99";"26,83";"26,26";"25,78";"25,37";"25,58";"25,10"
