Kennziffer;Raumeinheit;Aggregat;Steuereinnahmen;Steuereinnahmen;Steuereinnahmen;Steuereinnahmen;Steuereinnahmen;Steuereinnahmen;Steuereinnahmen;Steuereinnahmen;Steuereinnahmen
;;;1995;1998;2002;2005;2009;2013;2017;2021;2023
"01053042";"Groß Pampau";"Gemeinden";"1.738,32";"1.247,86";"891,47";"842,52";"905,80";"1.027,21";"1.214,01";"1.259,45";"1.390,50"
"01053043";"Groß Sarau";"Gemeinden";"424,72";"373,33";"452,66";"521,14";"1.056,46";"605,12";"735,37";"889,09";"935,44"
"01053044";"Groß Schenkenberg";"Gemeinden";"366,60";"399,25";"340,74";"332,71";"432,58";"554,31";"687,72";"939,42";"744,76"
"01053045";"Grove";"Gemeinden";"413,50";"459,68";"483,33";"434,78";"482,21";"821,43";"850,24";"925,59";"1.071,77"
"01053046";"Gudow";"Gemeinden";"427,46";"397,31";"375,62";"367,00";"464,33";"538,46";"669,82";"749,03";"748,06"
"01053047";"Gülzow";"Gemeinden";"368,91";"317,85";"327,47";"356,65";"493,17";"581,92";"634,61";"692,20";"728,94"
"01053048";"Güster";"Gemeinden";"432,75";"522,66";"506,54";"470,49";"611,55";"890,24";"1.001,94";"1.208,86";"1.527,44"
"01053049";"Hamfelde";"Gemeinden";"390,87";"384,91";"443,78";"492,34";"739,86";"751,07";"925,78";"938,20";"863,77"
"01053050";"Hamwarde";"Gemeinden";"380,63";"373,33";"355,70";"324,54";"412,53";"521,02";"569,70";"771,93";"793,93"
"01053051";"Harmsdorf";"Gemeinden";"380,23";"484,85";"454,98";"327,87";"398,52";"448,39";"693,55";"779,68";"1.011,61"
"01053052";"Havekost";"Gemeinden";"371,90";"336,00";"357,66";"355,07";"503,31";"796,61";"986,71";"1.185,11";"1.241,48"
"01053053";"Hohenhorn";"Gemeinden";"534,40";"447,25";"481,07";"513,51";"604,89";"699,43";"846,26";"1.097,43";"1.402,05"
"01053054";"Hollenbek";"Gemeinden";"301,75";"259,51";"263,16";"258,50";"341,57";"415,49";"473,86";"543,99";"569,25"
"01053056";"Hornbek";"Gemeinden";"400,00";"347,15";"327,87";"430,11";"563,54";"668,54";"659,67";"721,72";"808,32"
"01053057";"Horst";"Gemeinden";"323,31";"354,17";"323,53";"331,98";"455,70";"719,46";"633,49";"773,74";"682,96"
"01053058";"Juliusburg";"Gemeinden";"238,81";"289,34";"346,94";"303,19";"360,66";"459,77";"611,37";"609,14";"639,48"
"01053059";"Kankelau";"Gemeinden";"363,18";"386,24";"398,10";"357,47";"507,18";"636,82";"840,43";"841,10";"913,42"
"01053060";"Kasseburg";"Gemeinden";"470,16";"420,39";"420,21";"414,18";"534,09";"620,10";"768,63";"836,13";"938,12"
"01053061";"Kastorf";"Gemeinden";"359,38";"344,21";"326,46";"418,85";"526,18";"827,98";"943,31";"1.475,60";"2.522,12"
"01053062";"Kittlitz";"Gemeinden";"359,55";"372,09";"285,21";"301,59";"358,27";"471,07";"638,38";"700,86";"810,70"
"01053064";"Klein Pampau";"Gemeinden";"315,87";"327,33";"326,75";"360,12";"448,61";"680,78";"654,89";"689,49";"802,24"
"01053066";"Klein Zecher";"Gemeinden";"384,26";"366,67";"299,58";"281,12";"437,25";"469,88";"745,73";"868,37";"1.042,74"
"01053067";"Klempau";"Gemeinden";"410,16";"389,49";"366,06";"341,94";"421,90";"563,90";"729,80";"990,93";"1.140,83"
"01053068";"Klinkrade";"Gemeinden";"351,61";"311,36";"310,34";"309,65";"421,05";"459,15";"577,26";"729,57";"768,28"
