Kennziffer;Raumeinheit;Aggregat;Arbeitslose;Arbeitslose;Arbeitslose;Arbeitslose;Arbeitslose;Arbeitslose;Arbeitslose;Arbeitslose
;;;1998;2002;2005;2009;2013;2017;2021;2023
"01053008";"Behlendorf";"Gemeinden";"14,00";"10,00";"17,00";"7,00";"6,00";"7,00";"6,00";"4,00"
"01053009";"Berkenthin";"Gemeinden";"60,00";"66,00";"75,00";"53,00";"44,00";"40,00";"38,00";"42,00"
"01053010";"Besenthal";"Gemeinden";"0,00";"1,00";"4,00";"2,00";"1,00";"0,00";"1,00";"1,00"
"01053011";"Bliestorf";"Gemeinden";"10,00";"15,00";"20,00";"6,00";"6,00";"9,00";"5,00";"9,00"
"01053012";"Börnsen";"Gemeinden";"116,00";"119,00";"128,00";"101,00";"87,00";"83,00";"86,00";"80,00"
"01053013";"Borstorf";"Gemeinden";"8,00";"5,00";"12,00";"4,00";"2,00";"5,00";"4,00";"2,00"
"01053014";"Breitenfelde";"Gemeinden";"64,00";"65,00";"81,00";"58,00";"50,00";"53,00";"55,00";"52,00"
"01053015";"Bröthen";"Gemeinden";"4,00";"5,00";"8,00";"8,00";"7,00";"7,00";"4,00";"5,00"
"01053016";"Brunsmark";"Gemeinden";"6,00";"3,00";"8,00";"3,00";"4,00";"3,00";"1,00";"2,00"
"01053017";"Brunstorf";"Gemeinden";"17,00";"17,00";"23,00";"20,00";"14,00";"12,00";"11,00";"12,00"
"01053018";"Buchholz";"Gemeinden";"4,00";"5,00";"6,00";"2,00";"1,00";"1,00";"2,00";"3,00"
"01053019";"Buchhorst";"Gemeinden";"4,00";"6,00";"9,00";"3,00";"3,00";"3,00";"1,00";"1,00"
"01053020";"Büchen";"Gemeinden";"202,00";"194,00";"241,00";"177,00";"170,00";"159,00";"173,00";"194,00"
"01053021";"Dahmker";"Gemeinden";"3,00";"4,00";"3,00";"2,00";"1,00";"2,00";"2,00";"1,00"
"01053022";"Dalldorf";"Gemeinden";"9,00";"3,00";"9,00";"8,00";"10,00";"6,00";"3,00";"4,00"
"01053023";"Dassendorf";"Gemeinden";"80,00";"66,00";"80,00";"60,00";"56,00";"42,00";"46,00";"44,00"
"01053024";"Düchelsdorf";"Gemeinden";"1,00";"4,00";"6,00";"5,00";"2,00";"1,00";"6,00";"2,00"
"01053025";"Duvensee";"Gemeinden";"19,00";"23,00";"19,00";"15,00";"14,00";"10,00";"9,00";"7,00"
"01053026";"Einhaus";"Gemeinden";"11,00";"11,00";"8,00";"9,00";"7,00";"5,00";"6,00";"8,00"
"01053027";"Elmenhorst";"Gemeinden";"24,00";"25,00";"33,00";"22,00";"16,00";"15,00";"15,00";"24,00"
"01053028";"Escheburg";"Gemeinden";"65,00";"89,00";"94,00";"64,00";"60,00";"67,00";"59,00";"69,00"
"01053029";"Fitzen";"Gemeinden";"2,00";"8,00";"12,00";"6,00";"8,00";"8,00";"6,00";"6,00"
"01053030";"Fredeburg";"Gemeinden";"1,00";"1,00";"0,00";"2,00";"0,00";"0,00";"0,00";"0,00"
"01053031";"Fuhlenhagen";"Gemeinden";"2,00";"12,00";"10,00";"4,00";"4,00";"5,00";"4,00";"6,00"
"01053032";"Geesthacht, Stadt";"Gemeinden";"1.386,00";"1.375,00";"1.898,00";"1.490,00";"1.437,00";"1.321,00";"1.338,00";"1.284,00"
"01053033";"Giesensdorf";"Gemeinden";"2,00";"2,00";"0,00";"2,00";"5,00";"3,00";"3,00";"6,00"
"01053034";"Göldenitz";"Gemeinden";"3,00";"7,00";"7,00";"7,00";"4,00";"2,00";"2,00";"2,00"
"01053035";"Göttin";"Gemeinden";"4,00";"5,00";"4,00";"1,00";"0,00";"0,00";"0,00";"1,00"
"01053036";"Grabau";"Gemeinden";"7,00";"8,00";"5,00";"5,00";"6,00";"7,00";"5,00";"2,00"
