Kennziffer;Raumeinheit;Aggregat;Ausländeranteil;Ausländeranteil;Ausländeranteil;Ausländeranteil;Ausländeranteil;Ausländeranteil;Ausländeranteil;Ausländeranteil;Ausländeranteil
;;;1995;1998;2002;2005;2009;2013;2017;2021;2023
"06431";"Bergstraße";"Kreise";"10,01";"9,72";"9,52";"9,55";"9,43";"9,64";"12,90";"14,29";"15,47"
"06432";"Darmstadt-Dieburg";"Kreise";"12,28";"11,49";"10,71";"10,60";"10,33";"10,89";"13,99";"14,93";"15,65"
"06433";"Groß-Gerau";"Kreise";"19,15";"18,77";"17,69";"17,40";"16,93";"17,49";"21,48";"23,31";"23,84"
"06434";"Hochtaunuskreis";"Kreise";"12,40";"12,31";"12,34";"12,22";"11,58";"12,77";"15,79";"17,26";"18,38"
"06435";"Main-Kinzig-Kreis";"Kreise";"11,84";"10,87";"10,29";"10,22";"9,93";"11,39";"15,08";"16,77";"18,17"
"06436";"Main-Taunus-Kreis";"Kreise";"13,18";"12,72";"12,36";"12,37";"12,20";"12,64";"15,85";"17,53";"18,76"
"06437";"Odenwaldkreis";"Kreise";"12,04";"11,28";"10,18";"10,17";"10,06";"10,66";"13,24";"14,69";"14,59"
"06438";"Offenbach";"Kreise";"14,45";"13,65";"12,87";"12,58";"12,31";"15,05";"18,64";"20,19";"21,02"
"06439";"Rheingau-Taunus-Kreis";"Kreise";"11,04";"10,32";"9,46";"9,06";"8,71";"8,69";"11,83";"12,68";"14,03"
"06440";"Wetteraukreis";"Kreise";"9,20";"8,74";"8,27";"8,06";"7,71";"8,81";"12,33";"14,04";"14,90"
"06531";"Gießen";"Kreise";"9,30";"9,07";"8,10";"7,68";"7,29";"7,70";"11,64";"13,58";"14,88"
"06532";"Lahn-Dill-Kreis";"Kreise";"9,78";"9,25";"8,50";"8,17";"7,83";"7,69";"10,54";"11,68";"12,93"
"06533";"Limburg-Weilburg";"Kreise";"8,68";"8,87";"8,10";"7,77";"7,44";"8,11";"11,20";"12,52";"13,46"
"06534";"Marburg-Biedenkopf";"Kreise";"9,38";"9,72";"9,92";"9,38";"9,26";"7,71";"11,07";"12,32";"12,84"
"06535";"Vogelsbergkreis";"Kreise";"4,80";"4,40";"4,12";"3,76";"3,56";"3,72";"6,90";"7,62";"8,80"
"06611";"Kassel, documenta-Stadt";"Kreise";"14,85";"13,99";"12,74";"12,21";"11,58";"12,95";"17,45";"20,01";"21,40"
"06631";"Fulda";"Kreise";"6,46";"5,98";"5,39";"5,19";"4,77";"5,18";"8,45";"10,20";"11,57"
"06632";"Hersfeld-Rotenburg";"Kreise";"5,62";"5,24";"5,21";"5,10";"4,83";"4,81";"8,96";"10,60";"11,18"
"06633";"Kassel";"Kreise";"4,40";"4,23";"4,07";"3,96";"3,69";"4,12";"6,90";"7,92";"9,09"
