Kennziffer;Raumeinheit;Aggregat;Einkommensteuer;Einkommensteuer;Einkommensteuer;Einkommensteuer;Einkommensteuer;Einkommensteuer;Einkommensteuer;Einkommensteuer;Einkommensteuer
;;;1995;1998;2002;2005;2009;2013;2017;2021;2023
"01053040";"Groß Disnack";"Gemeinden";"478,26";"380,00";"318,68";"244,44";"313,95";"493,98";"580,94";"574,87";"626,80"
"01053041";"Groß Grönau";"Gemeinden";"447,44";"372,87";"365,03";"317,60";"369,55";"455,08";"570,50";"585,00";"660,47"
"01053042";"Groß Pampau";"Gemeinden";"411,21";"487,18";"255,81";"283,46";"369,57";"428,57";"561,62";"683,71";"627,26"
"01053043";"Groß Sarau";"Gemeinden";"330,48";"272,73";"292,15";"256,00";"318,13";"381,00";"499,61";"547,45";"568,14"
"01053044";"Groß Schenkenberg";"Gemeinden";"282,15";"276,12";"259,26";"236,84";"284,64";"389,51";"487,27";"521,48";"563,35"
"01053045";"Grove";"Gemeinden";"329,11";"286,29";"375,00";"317,39";"351,78";"476,19";"561,25";"547,68";"597,65"
"01053046";"Gudow";"Gemeinden";"242,68";"243,89";"236,32";"206,28";"272,22";"315,08";"402,41";"444,87";"457,27"
"01053047";"Gülzow";"Gemeinden";"303,59";"247,40";"241,78";"231,36";"351,00";"392,25";"468,10";"473,91";"518,20"
"01053048";"Güster";"Gemeinden";"299,42";"263,44";"225,81";"223,61";"310,13";"418,70";"505,05";"603,96";"687,93"
"01053049";"Hamfelde";"Gemeinden";"335,32";"320,75";"363,45";"382,93";"553,70";"572,96";"716,57";"690,92";"654,89"
"01053050";"Hamwarde";"Gemeinden";"309,69";"281,33";"272,48";"236,15";"292,43";"373,25";"400,00";"567,83";"625,29"
"01053051";"Harmsdorf";"Gemeinden";"262,36";"350,65";"317,54";"209,02";"195,57";"283,87";"440,13";"564,07";"631,87"
"01053052";"Havekost";"Gemeinden";"264,46";"216,00";"262,77";"246,38";"370,86";"406,78";"673,44";"713,25";"736,99"
"01053053";"Hohenhorn";"Gemeinden";"394,50";"350,92";"347,44";"340,09";"391,04";"485,82";"625,60";"639,17";"741,72"
"01053054";"Hollenbek";"Gemeinden";"202,00";"178,97";"162,28";"156,46";"202,25";"251,17";"312,78";"361,97";"392,85"
"01053056";"Hornbek";"Gemeinden";"317,65";"264,25";"218,58";"231,18";"331,49";"455,06";"456,07";"473,60";"508,49"
"01053057";"Horst";"Gemeinden";"229,32";"254,17";"201,68";"194,33";"320,68";"321,27";"441,18";"473,17";"439,03"
"01053058";"Juliusburg";"Gemeinden";"184,08";"187,82";"250,00";"186,17";"251,37";"316,09";"437,06";"430,14";"472,59"
"01053059";"Kankelau";"Gemeinden";"288,56";"291,01";"303,32";"257,92";"397,13";"472,64";"609,61";"577,08";"630,31"
"01053060";"Kasseburg";"Gemeinden";"392,41";"332,74";"312,06";"291,04";"416,67";"451,45";"597,71";"662,99";"721,74"
"01053061";"Kastorf";"Gemeinden";"239,18";"217,61";"209,87";"196,34";"293,92";"363,16";"481,10";"516,78";"563,88"
"01053062";"Kittlitz";"Gemeinden";"250,94";"251,94";"179,58";"150,79";"251,97";"297,52";"373,70";"448,09";"471,62"
"01053064";"Klein Pampau";"Gemeinden";"217,07";"244,74";"235,56";"227,20";"326,26";"460,91";"523,48";"526,04";"587,38"
"01053066";"Klein Zecher";"Gemeinden";"282,41";"270,83";"181,43";"164,66";"222,67";"285,14";"461,95";"499,71";"539,84"
"01053067";"Klempau";"Gemeinden";"288,57";"244,57";"239,60";"195,16";"276,97";"359,42";"509,03";"646,51";"719,52"
"01053068";"Klinkrade";"Gemeinden";"266,54";"221,61";"235,93";"194,90";"290,38";"323,53";"428,62";"523,05";"562,20"
"01053069";"Koberg";"Gemeinden";"246,88";"228,61";"246,98";"235,14";"331,61";"396,28";"487,25";"524,33";"589,94"
"01053070";"Köthel";"Gemeinden";"333,33";"279,85";"326,01";"273,68";"391,00";"492,70";"656,76";"623,56";"670,58"
"01053071";"Kollow";"Gemeinden";"300,30";"287,36";"270,68";"253,80";"417,45";"505,10";"635,66";"589,03";"635,44"
"01053072";"Kröppelshagen-Fahrendorf";"Gemeinden";"452,92";"370,91";"360,56";"372,90";"428,83";"470,83";"620,95";"689,66";"760,50"
"01053073";"Krüzen";"Gemeinden";"259,52";"211,04";"200,00";"175,29";"297,14";"378,45";"426,62";"577,84";"615,89"
"01053074";"Krukow";"Gemeinden";"284,95";"217,62";"183,17";"195,88";"364,10";"506,49";"636,06";"535,87";"590,88"
"01053075";"Krummesse";"Gemeinden";"492,16";"462,54";"441,34";"397,81";"615,18";"595,22";"718,06";"879,88";"1.019,88"
"01053076";"Kuddewörde";"Gemeinden";"394,59";"367,84";"356,87";"328,86";"457,12";"542,20";"650,05";"621,35";"614,86"
"01053077";"Kühsen";"Gemeinden";"222,78";"227,82";"270,68";"250,65";"319,80";"398,35";"449,61";"554,87";"621,31"
"01053078";"Kulpin";"Gemeinden";"159,18";"172,27";"193,28";"196,65";"290,75";"358,85";"502,62";"670,21";"692,68"
"01053079";"Labenz";"Gemeinden";"261,54";"266,96";"254,66";"224,88";"340,80";"364,18";"507,98";"515,76";"577,20"
"01053080";"Langenlehsten";"Gemeinden";"275,86";"243,06";"205,88";"187,50";"269,94";"343,95";"472,40";"546,10";"499,52"
"01053081";"Lankau";"Gemeinden";"201,66";"196,82";"216,22";"193,61";"238,78";"323,53";"464,47";"514,96";"601,67"
"01053082";"Lanze";"Gemeinden";"153,02";"156,72";"135,54";"127,55";"184,54";"306,05";"330,27";"488,34";"543,23"
